"S11 Log Mag"
"Frequency (Hz)","dB",
3211000000, -1.029389e+001,
3212000000, -1.030240e+001,
3213000000, -1.032255e+001,
3214000000, -1.032645e+001,
3215000000, -1.034004e+001,
3216000000, -1.036443e+001,
3217000000, -1.038717e+001,
3218000000, -1.041475e+001,
3219000000, -1.043592e+001,
3220000000, -1.046844e+001,
3221000000, -1.050202e+001,
3222000000, -1.054422e+001,
3223000000, -1.057955e+001,
3224000000, -1.061629e+001,
3225000000, -1.065526e+001,
3226000000, -1.067215e+001,
3227000000, -1.070658e+001,
3228000000, -1.072408e+001,
3229000000, -1.073379e+001,
3230000000, -1.075716e+001,
3231000000, -1.076642e+001,
3232000000, -1.076899e+001,
3233000000, -1.077925e+001,
3234000000, -1.078926e+001,
3235000000, -1.079579e+001,
3236000000, -1.080673e+001,
3237000000, -1.083483e+001,
3238000000, -1.083793e+001,
3239000000, -1.085641e+001,
3240000000, -1.087223e+001,
3241000000, -1.091209e+001,
3242000000, -1.093956e+001,
3243000000, -1.096721e+001,
3244000000, -1.099387e+001,
3245000000, -1.103452e+001,
3246000000, -1.105754e+001,
3247000000, -1.108379e+001,
3248000000, -1.110050e+001,
3249000000, -1.112694e+001,
3250000000, -1.113906e+001,
3251000000, -1.116490e+001,
3252000000, -1.118267e+001,
3253000000, -1.116712e+001,
3254000000, -1.118639e+001,
3255000000, -1.120063e+001,
3256000000, -1.120098e+001,
3257000000, -1.121127e+001,
3258000000, -1.121450e+001,
3259000000, -1.120832e+001,
3260000000, -1.122805e+001,
3261000000, -1.122450e+001,
3262000000, -1.124256e+001,
3263000000, -1.124893e+001,
3264000000, -1.126782e+001,
3265000000, -1.128140e+001,
3266000000, -1.129835e+001,
3267000000, -1.130311e+001,
3268000000, -1.133307e+001,
3269000000, -1.135603e+001,
3270000000, -1.137414e+001,
3271000000, -1.140429e+001,
3272000000, -1.141882e+001,
3273000000, -1.143023e+001,
3274000000, -1.144164e+001,
3275000000, -1.146715e+001,
3276000000, -1.146849e+001,
3277000000, -1.147299e+001,
3278000000, -1.147538e+001,
3279000000, -1.147695e+001,
3280000000, -1.148911e+001,
3281000000, -1.149671e+001,
3282000000, -1.150873e+001,
3283000000, -1.151838e+001,
3284000000, -1.152857e+001,
3285000000, -1.155477e+001,
3286000000, -1.158629e+001,
3287000000, -1.160879e+001,
3288000000, -1.163502e+001,
3289000000, -1.165475e+001,
3290000000, -1.169867e+001,
3291000000, -1.172445e+001,
3292000000, -1.174911e+001,
3293000000, -1.177700e+001,
3294000000, -1.181009e+001,
3295000000, -1.184114e+001,
3296000000, -1.186371e+001,
3297000000, -1.189307e+001,
3298000000, -1.191703e+001,
3299000000, -1.194524e+001,
3300000000, -1.198168e+001,
3301000000, -1.198546e+001,
3302000000, -1.201833e+001,
3303000000, -1.204491e+001,
3304000000, -1.206339e+001,
3305000000, -1.207755e+001,
3306000000, -1.209432e+001,
3307000000, -1.210970e+001,
3308000000, -1.214043e+001,
3309000000, -1.216110e+001,
3310000000, -1.217642e+001,
3311000000, -1.219209e+001,
3312000000, -1.220258e+001,
3313000000, -1.221120e+001,
3314000000, -1.222653e+001,
3315000000, -1.224141e+001,
3316000000, -1.224952e+001,
3317000000, -1.226937e+001,
3318000000, -1.227928e+001,
3319000000, -1.231644e+001,
3320000000, -1.234068e+001,
3321000000, -1.237027e+001,
3322000000, -1.238596e+001,
3323000000, -1.241540e+001,
3324000000, -1.243214e+001,
3325000000, -1.245761e+001,
3326000000, -1.246746e+001,
3327000000, -1.249401e+001,
3328000000, -1.253415e+001,
3329000000, -1.255310e+001,
3330000000, -1.259268e+001,
3331000000, -1.261771e+001,
3332000000, -1.264027e+001,
3333000000, -1.266644e+001,
3334000000, -1.269407e+001,
3335000000, -1.271051e+001,
3336000000, -1.275222e+001,
3337000000, -1.274999e+001,
3338000000, -1.280051e+001,
3339000000, -1.282287e+001,
3340000000, -1.286428e+001,
3341000000, -1.291303e+001,
3342000000, -1.295137e+001,
3343000000, -1.298278e+001,
3344000000, -1.304601e+001,
3345000000, -1.310558e+001,
3346000000, -1.314980e+001,
3347000000, -1.319853e+001,
3348000000, -1.324302e+001,
3349000000, -1.330932e+001,
3350000000, -1.333639e+001,
3351000000, -1.338569e+001,
3352000000, -1.341821e+001,
3353000000, -1.345883e+001,
3354000000, -1.348954e+001,
3355000000, -1.349905e+001,
3356000000, -1.350923e+001,
3357000000, -1.352720e+001,
3358000000, -1.353205e+001,
3359000000, -1.353787e+001,
3360000000, -1.354038e+001,
3361000000, -1.353071e+001,
3362000000, -1.354496e+001,
3363000000, -1.353148e+001,
3364000000, -1.352728e+001,
3365000000, -1.354831e+001,
3366000000, -1.357586e+001,
3367000000, -1.357182e+001,
3368000000, -1.361495e+001,
3369000000, -1.365244e+001,
3370000000, -1.366269e+001,
3371000000, -1.370686e+001,
3372000000, -1.376503e+001,
3373000000, -1.383703e+001,
3374000000, -1.385290e+001,
3375000000, -1.390927e+001,
3376000000, -1.394448e+001,
3377000000, -1.399377e+001,
3378000000, -1.402954e+001,
3379000000, -1.404157e+001,
3380000000, -1.405796e+001,
3381000000, -1.405027e+001,
3382000000, -1.405521e+001,
3383000000, -1.405035e+001,
3384000000, -1.403752e+001,
3385000000, -1.402387e+001,
3386000000, -1.400901e+001,
3387000000, -1.404163e+001,
3388000000, -1.405806e+001,
3389000000, -1.407982e+001,
3390000000, -1.409650e+001,
3391000000, -1.415242e+001,
3392000000, -1.419655e+001,
3393000000, -1.423684e+001,
3394000000, -1.426052e+001,
3395000000, -1.431196e+001,
3396000000, -1.435355e+001,
3397000000, -1.441011e+001,
3398000000, -1.446856e+001,
3399000000, -1.452915e+001,
3400000000, -1.459713e+001,
3401000000, -1.466844e+001,
3402000000, -1.473475e+001,
3403000000, -1.480938e+001,
3404000000, -1.486164e+001,
3405000000, -1.490435e+001,
3406000000, -1.494887e+001,
3407000000, -1.497570e+001,
3408000000, -1.501529e+001,
3409000000, -1.505376e+001,
3410000000, -1.509499e+001,
3411000000, -1.513137e+001,
3412000000, -1.519172e+001,
3413000000, -1.523066e+001,
3414000000, -1.528522e+001,
3415000000, -1.534255e+001,
3416000000, -1.538507e+001,
3417000000, -1.543924e+001,
3418000000, -1.548129e+001,
3419000000, -1.552864e+001,
3420000000, -1.557851e+001,
3421000000, -1.561491e+001,
3422000000, -1.562413e+001,
3423000000, -1.564541e+001,
3424000000, -1.564875e+001,
3425000000, -1.566399e+001,
3426000000, -1.566116e+001,
3427000000, -1.567570e+001,
3428000000, -1.566111e+001,
3429000000, -1.568089e+001,
3430000000, -1.567768e+001,
3431000000, -1.571898e+001,
3432000000, -1.570224e+001,
3433000000, -1.573115e+001,
3434000000, -1.574894e+001,
3435000000, -1.577372e+001,
3436000000, -1.580146e+001,
3437000000, -1.582067e+001,
3438000000, -1.585349e+001,
3439000000, -1.587848e+001,
3440000000, -1.590165e+001,
3441000000, -1.592919e+001,
3442000000, -1.598149e+001,
3443000000, -1.602295e+001,
3444000000, -1.608923e+001,
3445000000, -1.613119e+001,
3446000000, -1.620618e+001,
3447000000, -1.628105e+001,
3448000000, -1.637407e+001,
3449000000, -1.645038e+001,
3450000000, -1.654498e+001,
3451000000, -1.663501e+001,
3452000000, -1.674175e+001,
3453000000, -1.681562e+001,
3454000000, -1.691103e+001,
3455000000, -1.697895e+001,
3456000000, -1.704384e+001,
3457000000, -1.713834e+001,
3458000000, -1.716722e+001,
3459000000, -1.722949e+001,
3460000000, -1.728172e+001,
3461000000, -1.733588e+001,
3462000000, -1.739644e+001,
3463000000, -1.744751e+001,
3464000000, -1.749896e+001,
3465000000, -1.753710e+001,
3466000000, -1.758329e+001,
3467000000, -1.761103e+001,
3468000000, -1.766402e+001,
3469000000, -1.770015e+001,
3470000000, -1.772577e+001,
3471000000, -1.776281e+001,
3472000000, -1.779108e+001,
3473000000, -1.782952e+001,
3474000000, -1.786497e+001,
3475000000, -1.790927e+001,
3476000000, -1.795661e+001,
3477000000, -1.797065e+001,
3478000000, -1.801232e+001,
3479000000, -1.800935e+001,
3480000000, -1.803675e+001,
3481000000, -1.801828e+001,
3482000000, -1.802328e+001,
3483000000, -1.801065e+001,
3484000000, -1.800479e+001,
3485000000, -1.799642e+001,
3486000000, -1.799340e+001,
3487000000, -1.799335e+001,
3488000000, -1.801263e+001,
3489000000, -1.804850e+001,
3490000000, -1.808132e+001,
3491000000, -1.811194e+001,
3492000000, -1.813538e+001,
3493000000, -1.819568e+001,
3494000000, -1.822358e+001,
3495000000, -1.826898e+001,
3496000000, -1.831058e+001,
3497000000, -1.839912e+001,
3498000000, -1.844740e+001,
3499000000, -1.850271e+001,
3500000000, -1.857859e+001,
3501000000, -1.866525e+001,
3502000000, -1.873274e+001,
3503000000, -1.881046e+001,
3504000000, -1.886259e+001,
3505000000, -1.895971e+001,
