"S21 Log Mag"
"Frequency (Hz)","dB",
3211000000, -9.387370e-001,
3212000000, -9.429154e-001,
3213000000, -9.380058e-001,
3214000000, -9.398723e-001,
3215000000, -9.339688e-001,
3216000000, -9.410054e-001,
3217000000, -9.423825e-001,
3218000000, -9.453052e-001,
3219000000, -9.399018e-001,
3220000000, -9.398239e-001,
3221000000, -9.329506e-001,
3222000000, -9.377915e-001,
3223000000, -9.354616e-001,
3224000000, -9.368852e-001,
3225000000, -9.432307e-001,
3226000000, -9.444537e-001,
3227000000, -9.397402e-001,
3228000000, -9.390461e-001,
3229000000, -9.423577e-001,
3230000000, -9.369040e-001,
3231000000, -9.403727e-001,
3232000000, -9.399713e-001,
3233000000, -9.452969e-001,
3234000000, -9.537578e-001,
3235000000, -9.432944e-001,
3236000000, -9.440846e-001,
3237000000, -9.420092e-001,
3238000000, -9.473771e-001,
3239000000, -9.454021e-001,
3240000000, -9.513351e-001,
3241000000, -9.473316e-001,
3242000000, -9.498882e-001,
3243000000, -9.454998e-001,
3244000000, -9.488950e-001,
3245000000, -9.447989e-001,
3246000000, -9.454409e-001,
3247000000, -9.466106e-001,
3248000000, -9.442690e-001,
3249000000, -9.504153e-001,
3250000000, -9.415710e-001,
3251000000, -9.411141e-001,
3252000000, -9.488947e-001,
3253000000, -9.478686e-001,
3254000000, -9.521359e-001,
3255000000, -9.437311e-001,
3256000000, -9.417499e-001,
3257000000, -9.440107e-001,
3258000000, -9.407774e-001,
3259000000, -9.451909e-001,
3260000000, -9.363155e-001,
3261000000, -9.384257e-001,
3262000000, -9.334704e-001,
3263000000, -9.374041e-001,
3264000000, -9.320397e-001,
3265000000, -9.278219e-001,
3266000000, -9.308499e-001,
3267000000, -9.258777e-001,
3268000000, -9.306774e-001,
3269000000, -9.172036e-001,
3270000000, -9.265303e-001,
3271000000, -9.276420e-001,
3272000000, -9.297315e-001,
3273000000, -9.328468e-001,
3274000000, -9.299366e-001,
3275000000, -9.200471e-001,
3276000000, -9.214673e-001,
3277000000, -9.231651e-001,
3278000000, -9.153813e-001,
3279000000, -9.228614e-001,
3280000000, -9.249597e-001,
3281000000, -9.249738e-001,
3282000000, -9.232820e-001,
3283000000, -9.200882e-001,
3284000000, -9.203035e-001,
3285000000, -9.253786e-001,
3286000000, -9.237833e-001,
3287000000, -9.221988e-001,
3288000000, -9.235405e-001,
3289000000, -9.250450e-001,
3290000000, -9.205331e-001,
3291000000, -9.273892e-001,
3292000000, -9.333248e-001,
3293000000, -9.347532e-001,
3294000000, -9.334869e-001,
3295000000, -9.445567e-001,
3296000000, -9.322357e-001,
3297000000, -9.322592e-001,
3298000000, -9.311063e-001,
3299000000, -9.333797e-001,
3300000000, -9.438491e-001,
3301000000, -9.381557e-001,
3302000000, -9.371880e-001,
3303000000, -9.396443e-001,
3304000000, -9.394287e-001,
3305000000, -9.505203e-001,
3306000000, -9.458660e-001,
3307000000, -9.499620e-001,
3308000000, -9.504446e-001,
3309000000, -9.521245e-001,
3310000000, -9.543079e-001,
3311000000, -9.464819e-001,
3312000000, -9.594256e-001,
3313000000, -9.529980e-001,
3314000000, -9.551641e-001,
3315000000, -9.640621e-001,
3316000000, -9.541617e-001,
3317000000, -9.605628e-001,
3318000000, -9.608433e-001,
3319000000, -9.557772e-001,
3320000000, -9.606591e-001,
3321000000, -9.629515e-001,
3322000000, -9.659219e-001,
3323000000, -9.556357e-001,
3324000000, -9.608274e-001,
3325000000, -9.603054e-001,
3326000000, -9.551577e-001,
3327000000, -9.610133e-001,
3328000000, -9.547932e-001,
3329000000, -9.541380e-001,
3330000000, -9.586254e-001,
3331000000, -9.569201e-001,
3332000000, -9.606096e-001,
3333000000, -9.521770e-001,
3334000000, -9.556838e-001,
3335000000, -9.521591e-001,
3336000000, -9.564002e-001,
3337000000, -9.530200e-001,
3338000000, -9.505490e-001,
3339000000, -9.524127e-001,
3340000000, -9.489223e-001,
3341000000, -9.564584e-001,
3342000000, -9.539452e-001,
3343000000, -9.524355e-001,
3344000000, -9.489077e-001,
3345000000, -9.493586e-001,
3346000000, -9.543493e-001,
3347000000, -9.508463e-001,
3348000000, -9.546850e-001,
3349000000, -9.526671e-001,
3350000000, -9.497420e-001,
3351000000, -9.558128e-001,
3352000000, -9.541597e-001,
3353000000, -9.548738e-001,
3354000000, -9.575076e-001,
3355000000, -9.548429e-001,
3356000000, -9.545674e-001,
3357000000, -9.545326e-001,
3358000000, -9.545045e-001,
3359000000, -9.569075e-001,
3360000000, -9.581729e-001,
3361000000, -9.556711e-001,
3362000000, -9.599448e-001,
3363000000, -9.605010e-001,
3364000000, -9.631287e-001,
3365000000, -9.621564e-001,
3366000000, -9.613872e-001,
3367000000, -9.632242e-001,
3368000000, -9.619932e-001,
3369000000, -9.654270e-001,
3370000000, -9.646439e-001,
3371000000, -9.646980e-001,
3372000000, -9.659078e-001,
3373000000, -9.664878e-001,
3374000000, -9.647871e-001,
3375000000, -9.655325e-001,
3376000000, -9.686356e-001,
3377000000, -9.717745e-001,
3378000000, -9.704502e-001,
3379000000, -9.678002e-001,
3380000000, -9.674890e-001,
3381000000, -9.689656e-001,
3382000000, -9.653296e-001,
3383000000, -9.707065e-001,
3384000000, -9.665797e-001,
3385000000, -9.743457e-001,
3386000000, -9.744043e-001,
3387000000, -9.709756e-001,
3388000000, -9.697958e-001,
3389000000, -9.726757e-001,
3390000000, -9.717370e-001,
3391000000, -9.675366e-001,
3392000000, -9.730147e-001,
3393000000, -9.700379e-001,
3394000000, -9.726877e-001,
3395000000, -9.705707e-001,
3396000000, -9.721494e-001,
3397000000, -9.729475e-001,
3398000000, -9.726361e-001,
3399000000, -9.767159e-001,
3400000000, -9.708210e-001,
3401000000, -9.719343e-001,
3402000000, -9.669522e-001,
3403000000, -9.729134e-001,
3404000000, -9.752010e-001,
3405000000, -9.737495e-001,
3406000000, -9.697334e-001,
3407000000, -9.778009e-001,
3408000000, -9.730000e-001,
3409000000, -9.728578e-001,
3410000000, -9.784578e-001,
3411000000, -9.754088e-001,
3412000000, -9.783944e-001,
3413000000, -9.800069e-001,
3414000000, -9.793090e-001,
3415000000, -9.769600e-001,
3416000000, -9.813726e-001,
3417000000, -9.787233e-001,
3418000000, -9.903289e-001,
3419000000, -9.846863e-001,
3420000000, -9.841757e-001,
3421000000, -9.822620e-001,
3422000000, -9.818114e-001,
3423000000, -9.811042e-001,
3424000000, -9.836764e-001,
3425000000, -9.858502e-001,
3426000000, -9.885406e-001,
3427000000, -9.868574e-001,
3428000000, -9.814734e-001,
3429000000, -9.867648e-001,
3430000000, -9.851465e-001,
3431000000, -9.877915e-001,
3432000000, -9.833645e-001,
3433000000, -9.849860e-001,
3434000000, -9.850566e-001,
3435000000, -9.841741e-001,
3436000000, -9.850295e-001,
3437000000, -9.872661e-001,
3438000000, -9.818100e-001,
3439000000, -9.771644e-001,
3440000000, -9.864554e-001,
3441000000, -9.819027e-001,
3442000000, -9.808320e-001,
3443000000, -9.763012e-001,
3444000000, -9.784755e-001,
3445000000, -9.794952e-001,
3446000000, -9.762986e-001,
3447000000, -9.786980e-001,
3448000000, -9.805629e-001,
3449000000, -9.695370e-001,
3450000000, -9.790807e-001,
3451000000, -9.728163e-001,
3452000000, -9.750155e-001,
3453000000, -9.667734e-001,
3454000000, -9.757666e-001,
3455000000, -9.736543e-001,
3456000000, -9.678450e-001,
3457000000, -9.673275e-001,
3458000000, -9.809223e-001,
3459000000, -9.748149e-001,
3460000000, -9.674932e-001,
3461000000, -9.774358e-001,
3462000000, -9.666625e-001,
3463000000, -9.801837e-001,
3464000000, -9.750224e-001,
3465000000, -9.779023e-001,
3466000000, -9.788275e-001,
3467000000, -9.741755e-001,
3468000000, -9.703439e-001,
3469000000, -9.767610e-001,
3470000000, -9.858860e-001,
3471000000, -9.875918e-001,
3472000000, -9.732183e-001,
3473000000, -9.753498e-001,
3474000000, -9.842077e-001,
3475000000, -9.788227e-001,
3476000000, -9.774289e-001,
3477000000, -9.857178e-001,
3478000000, -9.845874e-001,
3479000000, -9.797494e-001,
3480000000, -9.858201e-001,
3481000000, -9.822741e-001,
3482000000, -9.895307e-001,
3483000000, -9.926968e-001,
3484000000, -9.879385e-001,
3485000000, -9.957223e-001,
3486000000, -9.956893e-001,
3487000000, -1.001157e+000,
3488000000, -9.968770e-001,
3489000000, -9.997178e-001,
3490000000, -9.972203e-001,
3491000000, -9.910474e-001,
3492000000, -9.953318e-001,
3493000000, -1.003541e+000,
3494000000, -9.963996e-001,
3495000000, -9.947792e-001,
3496000000, -1.000477e+000,
3497000000, -1.003079e+000,
3498000000, -1.001424e+000,
3499000000, -9.991362e-001,
3500000000, -9.926332e-001,
3501000000, -9.917258e-001,
3502000000, -9.959325e-001,
3503000000, -9.833077e-001,
3504000000, -9.884450e-001,
3505000000, -9.882269e-001,
3506000000, -9.904923e-001,
3507000000, -9.925791e-001,
3508000000, -9.884459e-001,
3509000000, -9.863584e-001,
3510000000, -9.830522e-001,
3511000000, -9.804618e-001,
3512000000, -9.744077e-001,
3513000000, -9.732187e-001,
3514000000, -9.845904e-001,
3515000000, -9.822938e-001,
3516000000, -9.753044e-001,
3517000000, -9.803079e-001,
3518000000, -9.713134e-001,
3519000000, -9.780108e-001,
3520000000, -9.755536e-001,
3521000000, -9.758744e-001,
3522000000, -9.699914e-001,
3523000000, -9.700618e-001,
3524000000, -9.638577e-001,
3525000000, -9.668601e-001,
3526000000, -9.618548e-001,
3527000000, -9.663841e-001,
3528000000, -9.644069e-001,
3529000000, -9.659266e-001,
3530000000, -9.592800e-001,
3531000000, -9.600613e-001,
3532000000, -9.643767e-001,
3533000000, -9.658867e-001,
3534000000, -9.617915e-001,
3535000000, -9.598492e-001,
3536000000, -9.562813e-001,
3537000000, -9.639272e-001,
3538000000, -9.649016e-001,
3539000000, -9.688859e-001,
3540000000, -9.574856e-001,
3541000000, -9.634199e-001,
3542000000, -9.642680e-001,
3543000000, -9.646964e-001,
3544000000, -9.669334e-001,
3545000000, -9.665670e-001,
3546000000, -9.684804e-001,
3547000000, -9.652091e-001,
3548000000, -9.710953e-001,
3549000000, -9.704562e-001,
3550000000, -9.712102e-001,
3551000000, -9.692180e-001,
3552000000, -9.658694e-001,
3553000000, -9.679633e-001,
3554000000, -9.748664e-001,
3555000000, -9.664896e-001,
3556000000, -9.783448e-001,
3557000000, -9.767093e-001,
3558000000, -9.752114e-001,
3559000000, -9.721664e-001,
3560000000, -9.758299e-001,
3561000000, -9.788302e-001,
3562000000, -9.765726e-001,
3563000000, -9.766738e-001,
3564000000, -9.831061e-001,
3565000000, -9.793789e-001,
3566000000, -9.773562e-001,
3567000000, -9.813387e-001,
3568000000, -9.824479e-001,
3569000000, -9.823804e-001,
3570000000, -9.806817e-001,
3571000000, -9.815865e-001,
3572000000, -9.844717e-001,
3573000000, -9.845766e-001,
3574000000, -9.824936e-001,
3575000000, -9.820418e-001,
3576000000, -9.818745e-001,
3577000000, -9.829799e-001,
3578000000, -9.831547e-001,
3579000000, -9.855500e-001,
3580000000, -9.835160e-001,
3581000000, -9.857141e-001,
3582000000, -9.846019e-001,
3583000000, -9.832798e-001,
3584000000, -9.863924e-001,
3585000000, -9.849288e-001,
3586000000, -9.870616e-001,
3587000000, -9.855343e-001,
3588000000, -9.862787e-001,
3589000000, -9.876124e-001,
3590000000, -9.867002e-001,
3591000000, -9.875208e-001,
3592000000, -9.883876e-001,
3593000000, -9.881681e-001,
3594000000, -9.868173e-001,
3595000000, -9.865841e-001,
3596000000, -9.889112e-001,
3597000000, -9.894069e-001,
3598000000, -9.862427e-001,
3599000000, -9.899669e-001,
3600000000, -9.916158e-001,
3601000000, -9.889835e-001,
3602000000, -9.888029e-001,
3603000000, -9.913539e-001,
3604000000, -9.961315e-001,
3605000000, -9.916316e-001,
3606000000, -9.937959e-001,
3607000000, -9.942293e-001,
3608000000, -9.940630e-001,
3609000000, -9.939697e-001,
3610000000, -9.933898e-001,
3611000000, -9.944456e-001,
3612000000, -9.994109e-001,
3613000000, -9.943717e-001,
3614000000, -9.947087e-001,
3615000000, -1.002287e+000,
3616000000, -1.003562e+000,
3617000000, -9.915146e-001,
3618000000, -9.993067e-001,
3619000000, -9.947358e-001,
3620000000, -9.973808e-001,
3621000000, -9.982540e-001,
3622000000, -9.974466e-001,
3623000000, -9.955398e-001,
3624000000, -9.946885e-001,
3625000000, -9.908733e-001,
3626000000, -9.929772e-001,
3627000000, -9.890614e-001,
3628000000, -9.946232e-001,
3629000000, -9.923494e-001,
3630000000, -9.976566e-001,
3631000000, -9.951106e-001,
3632000000, -9.895371e-001,
3633000000, -9.938329e-001,
3634000000, -9.857716e-001,
3635000000, -9.920360e-001,
3636000000, -9.849209e-001,
3637000000, -9.869218e-001,
3638000000, -9.823500e-001,
3639000000, -9.766505e-001,
3640000000, -9.828351e-001,
3641000000, -9.817656e-001,
3642000000, -9.826996e-001,
3643000000, -9.828067e-001,
3644000000, -9.760894e-001,
3645000000, -9.747877e-001,
3646000000, -9.745473e-001,
3647000000, -9.794911e-001,
3648000000, -9.819070e-001,
3649000000, -9.789124e-001,
3650000000, -9.746218e-001,
3651000000, -9.834118e-001,
3652000000, -9.730762e-001,
3653000000, -9.768748e-001,
3654000000, -9.792835e-001,
3655000000, -9.710596e-001,
3656000000, -9.822720e-001,
3657000000, -9.794262e-001,
3658000000, -9.770234e-001,
3659000000, -9.831452e-001,
3660000000, -9.838241e-001,
3661000000, -9.826506e-001,
3662000000, -9.809276e-001,
3663000000, -9.884068e-001,
3664000000, -9.841963e-001,
3665000000, -9.870279e-001,
3666000000, -9.871363e-001,
3667000000, -9.893156e-001,
3668000000, -9.959431e-001,
3669000000, -9.935876e-001,
3670000000, -1.002144e+000,
3671000000, -1.003214e+000,
3672000000, -1.000836e+000,
3673000000, -1.005796e+000,
3674000000, -1.002833e+000,
3675000000, -1.001695e+000,
3676000000, -1.012631e+000,
3677000000, -1.010631e+000,
3678000000, -1.011894e+000,
3679000000, -1.010189e+000,
3680000000, -1.008082e+000,
3681000000, -1.012242e+000,
3682000000, -1.009816e+000,
3683000000, -1.009930e+000,
3684000000, -1.016932e+000,
3685000000, -1.020677e+000,
3686000000, -1.016065e+000,
3687000000, -1.021557e+000,
3688000000, -1.021425e+000,
3689000000, -1.015412e+000,
3690000000, -1.024533e+000,
3691000000, -1.020100e+000,
3692000000, -1.024702e+000,
3693000000, -1.023225e+000,
3694000000, -1.013094e+000,
3695000000, -1.016441e+000,
3696000000, -1.013364e+000,
3697000000, -1.019863e+000,
3698000000, -1.021938e+000,
3699000000, -1.015422e+000,
3700000000, -1.017607e+000,
3701000000, -1.018765e+000,
3702000000, -1.018310e+000,
3703000000, -1.019291e+000,
3704000000, -1.023185e+000,
3705000000, -1.011258e+000,
3706000000, -1.017444e+000,
3707000000, -1.020489e+000,
3708000000, -1.010783e+000,
3709000000, -1.019435e+000,
3710000000, -1.010702e+000,
3711000000, -1.012066e+000,
3712000000, -1.016606e+000,
3713000000, -1.012738e+000,
3714000000, -1.013649e+000,
3715000000, -1.010096e+000,
3716000000, -1.015282e+000,
3717000000, -1.017267e+000,
3718000000, -1.013093e+000,
3719000000, -1.016957e+000,
3720000000, -1.017160e+000,
3721000000, -1.017264e+000,
3722000000, -1.018033e+000,
3723000000, -1.021951e+000,
3724000000, -1.021243e+000,
3725000000, -1.025023e+000,
3726000000, -1.027752e+000,
3727000000, -1.035650e+000,
3728000000, -1.025697e+000,
3729000000, -1.031678e+000,
3730000000, -1.030344e+000,
3731000000, -1.034290e+000,
3732000000, -1.037854e+000,
3733000000, -1.035710e+000,
3734000000, -1.035130e+000,
3735000000, -1.037348e+000,
3736000000, -1.038199e+000,
3737000000, -1.042809e+000,
3738000000, -1.045658e+000,
3739000000, -1.046447e+000,
3740000000, -1.048227e+000,
3741000000, -1.043950e+000,
3742000000, -1.047145e+000,
3743000000, -1.044577e+000,
3744000000, -1.052167e+000,
3745000000, -1.052647e+000,
3746000000, -1.053760e+000,
3747000000, -1.053448e+000,
3748000000, -1.047645e+000,
3749000000, -1.045722e+000,
3750000000, -1.047372e+000,
3751000000, -1.044449e+000,
3752000000, -1.045905e+000,
3753000000, -1.046927e+000,
3754000000, -1.044807e+000,
3755000000, -1.043693e+000,
3756000000, -1.038489e+000,
3757000000, -1.034690e+000,
3758000000, -1.037578e+000,
3759000000, -1.036099e+000,
3760000000, -1.031637e+000,
3761000000, -1.027992e+000,
3762000000, -1.033286e+000,
3763000000, -1.024653e+000,
3764000000, -1.023456e+000,
3765000000, -1.023906e+000,
3766000000, -1.019654e+000,
3767000000, -1.018893e+000,
3768000000, -1.018813e+000,
3769000000, -1.013273e+000,
3770000000, -1.012408e+000,
3771000000, -1.012775e+000,
3772000000, -1.007966e+000,
3773000000, -1.009438e+000,
3774000000, -1.012778e+000,
3775000000, -1.009371e+000,
3776000000, -1.003023e+000,
3777000000, -1.005529e+000,
3778000000, -1.006044e+000,
3779000000, -1.001197e+000,
3780000000, -1.003046e+000,
3781000000, -1.003967e+000,
3782000000, -1.001299e+000,
3783000000, -1.000252e+000,
3784000000, -1.006834e+000,
3785000000, -1.001234e+000,
3786000000, -9.994537e-001,
3787000000, -1.002536e+000,
3788000000, -1.000928e+000,
3789000000, -1.007878e+000,
3790000000, -1.010970e+000,
3791000000, -1.008110e+000,
3792000000, -1.011286e+000,
3793000000, -1.008573e+000,
3794000000, -1.011185e+000,
3795000000, -1.008730e+000,
3796000000, -1.011478e+000,
3797000000, -1.014741e+000,
3798000000, -1.015758e+000,
3799000000, -1.015758e+000,
3800000000, -1.017218e+000,
3801000000, -1.019830e+000,
3802000000, -1.015423e+000,
3803000000, -1.018641e+000,
3804000000, -1.021791e+000,
3805000000, -1.018621e+000,
3806000000, -1.023068e+000,
3807000000, -1.024000e+000,
3808000000, -1.023985e+000,
3809000000, -1.021080e+000,
3810000000, -1.025312e+000,
3811000000, -1.024635e+000,
3812000000, -1.025113e+000,
3813000000, -1.025217e+000,
3814000000, -1.028445e+000,
3815000000, -1.025987e+000,
3816000000, -1.020904e+000,
3817000000, -1.025485e+000,
3818000000, -1.026602e+000,
3819000000, -1.026119e+000,
3820000000, -1.023308e+000,
3821000000, -1.025129e+000,
3822000000, -1.026198e+000,
3823000000, -1.025368e+000,
3824000000, -1.028946e+000,
3825000000, -1.025821e+000,
3826000000, -1.025050e+000,
3827000000, -1.025734e+000,
3828000000, -1.027153e+000,
3829000000, -1.024690e+000,
3830000000, -1.020839e+000,
3831000000, -1.023976e+000,
3832000000, -1.026635e+000,
3833000000, -1.028662e+000,
3834000000, -1.022663e+000,
3835000000, -1.022914e+000,
3836000000, -1.022640e+000,
3837000000, -1.025439e+000,
3838000000, -1.021198e+000,
3839000000, -1.025912e+000,
3840000000, -1.024758e+000,
3841000000, -1.029063e+000,
3842000000, -1.021349e+000,
3843000000, -1.026156e+000,
3844000000, -1.025149e+000,
3845000000, -1.024353e+000,
3846000000, -1.027113e+000,
3847000000, -1.023808e+000,
3848000000, -1.025785e+000,
3849000000, -1.032594e+000,
3850000000, -1.029339e+000,
3851000000, -1.030268e+000,
3852000000, -1.026465e+000,
3853000000, -1.027443e+000,
3854000000, -1.028637e+000,
3855000000, -1.026373e+000,
3856000000, -1.030379e+000,
3857000000, -1.030860e+000,
3858000000, -1.030333e+000,
3859000000, -1.034334e+000,
3860000000, -1.033906e+000,
3861000000, -1.029711e+000,
3862000000, -1.029243e+000,
3863000000, -1.025540e+000,
3864000000, -1.022622e+000,
3865000000, -1.018893e+000,
3866000000, -1.021591e+000,
3867000000, -1.021020e+000,
3868000000, -1.020796e+000,
3869000000, -1.019180e+000,
3870000000, -1.015648e+000,
3871000000, -1.023096e+000,
3872000000, -1.012422e+000,
3873000000, -1.014873e+000,
3874000000, -1.011546e+000,
3875000000, -1.021292e+000,
3876000000, -1.008117e+000,
3877000000, -1.009016e+000,
3878000000, -1.002854e+000,
3879000000, -1.013038e+000,
3880000000, -1.013415e+000,
