"S21 Log Mag"
"Frequency (Hz)","dB",
3211000000, -7.565860e-001,
3212000000, -7.583310e-001,
3213000000, -7.563710e-001,
3214000000, -7.640623e-001,
3215000000, -7.563612e-001,
3216000000, -7.610400e-001,
3217000000, -7.660610e-001,
3218000000, -7.685301e-001,
3219000000, -7.656397e-001,
3220000000, -7.664443e-001,
3221000000, -7.640587e-001,
3222000000, -7.726678e-001,
3223000000, -7.705536e-001,
3224000000, -7.699250e-001,
3225000000, -7.739215e-001,
3226000000, -7.749300e-001,
3227000000, -7.683576e-001,
3228000000, -7.775795e-001,
3229000000, -7.787394e-001,
3230000000, -7.699595e-001,
3231000000, -7.790335e-001,
3232000000, -7.756539e-001,
3233000000, -7.737963e-001,
3234000000, -7.811669e-001,
3235000000, -7.753903e-001,
3236000000, -7.803857e-001,
3237000000, -7.750860e-001,
3238000000, -7.784864e-001,
3239000000, -7.795420e-001,
3240000000, -7.764730e-001,
3241000000, -7.743123e-001,
3242000000, -7.766023e-001,
3243000000, -7.822698e-001,
3244000000, -7.785400e-001,
3245000000, -7.689897e-001,
3246000000, -7.703471e-001,
3247000000, -7.697470e-001,
3248000000, -7.652253e-001,
3249000000, -7.722713e-001,
3250000000, -7.582700e-001,
3251000000, -7.625873e-001,
3252000000, -7.617027e-001,
3253000000, -7.629195e-001,
3254000000, -7.669421e-001,
3255000000, -7.586277e-001,
3256000000, -7.484023e-001,
3257000000, -7.593071e-001,
3258000000, -7.560855e-001,
3259000000, -7.578567e-001,
3260000000, -7.430233e-001,
3261000000, -7.477607e-001,
3262000000, -7.435183e-001,
3263000000, -7.484103e-001,
3264000000, -7.399361e-001,
3265000000, -7.329403e-001,
3266000000, -7.390534e-001,
3267000000, -7.327040e-001,
3268000000, -7.420859e-001,
3269000000, -7.284620e-001,
3270000000, -7.358778e-001,
3271000000, -7.377759e-001,
3272000000, -7.386532e-001,
3273000000, -7.432389e-001,
3274000000, -7.419423e-001,
3275000000, -7.301053e-001,
3276000000, -7.334939e-001,
3277000000, -7.382351e-001,
3278000000, -7.271024e-001,
3279000000, -7.371979e-001,
3280000000, -7.414557e-001,
3281000000, -7.427300e-001,
3282000000, -7.399073e-001,
3283000000, -7.387840e-001,
3284000000, -7.394679e-001,
3285000000, -7.455410e-001,
3286000000, -7.429105e-001,
3287000000, -7.422176e-001,
3288000000, -7.466826e-001,
3289000000, -7.498621e-001,
3290000000, -7.483547e-001,
3291000000, -7.556676e-001,
3292000000, -7.596657e-001,
3293000000, -7.610533e-001,
3294000000, -7.640724e-001,
3295000000, -7.716689e-001,
3296000000, -7.618473e-001,
3297000000, -7.606054e-001,
3298000000, -7.589030e-001,
3299000000, -7.606280e-001,
3300000000, -7.669074e-001,
3301000000, -7.646196e-001,
3302000000, -7.613892e-001,
3303000000, -7.704811e-001,
3304000000, -7.680679e-001,
3305000000, -7.764623e-001,
3306000000, -7.747371e-001,
3307000000, -7.728258e-001,
3308000000, -7.715810e-001,
3309000000, -7.730018e-001,
3310000000, -7.760484e-001,
3311000000, -7.640103e-001,
3312000000, -7.812327e-001,
3313000000, -7.726368e-001,
3314000000, -7.790622e-001,
3315000000, -7.762291e-001,
3316000000, -7.715345e-001,
3317000000, -7.762739e-001,
3318000000, -7.789025e-001,
3319000000, -7.697065e-001,
3320000000, -7.773395e-001,
3321000000, -7.745352e-001,
3322000000, -7.816533e-001,
3323000000, -7.746158e-001,
3324000000, -7.746831e-001,
3325000000, -7.685499e-001,
3326000000, -7.705811e-001,
3327000000, -7.707337e-001,
3328000000, -7.681606e-001,
3329000000, -7.654170e-001,
3330000000, -7.700351e-001,
3331000000, -7.692820e-001,
3332000000, -7.702708e-001,
3333000000, -7.675453e-001,
3334000000, -7.692749e-001,
3335000000, -7.646735e-001,
3336000000, -7.689195e-001,
3337000000, -7.692133e-001,
3338000000, -7.653925e-001,
3339000000, -7.657725e-001,
3340000000, -7.628120e-001,
3341000000, -7.683313e-001,
3342000000, -7.707289e-001,
3343000000, -7.680087e-001,
3344000000, -7.659894e-001,
3345000000, -7.671564e-001,
3346000000, -7.709006e-001,
3347000000, -7.693465e-001,
3348000000, -7.724895e-001,
3349000000, -7.717446e-001,
3350000000, -7.703861e-001,
3351000000, -7.767100e-001,
3352000000, -7.742718e-001,
3353000000, -7.733751e-001,
3354000000, -7.776446e-001,
3355000000, -7.765068e-001,
3356000000, -7.769242e-001,
3357000000, -7.749555e-001,
3358000000, -7.738064e-001,
3359000000, -7.800543e-001,
3360000000, -7.793276e-001,
3361000000, -7.778692e-001,
3362000000, -7.827303e-001,
3363000000, -7.792249e-001,
3364000000, -7.807115e-001,
3365000000, -7.805623e-001,
3366000000, -7.820252e-001,
3367000000, -7.791007e-001,
3368000000, -7.789134e-001,
3369000000, -7.791135e-001,
3370000000, -7.796209e-001,
3371000000, -7.805650e-001,
3372000000, -7.832029e-001,
3373000000, -7.810929e-001,
3374000000, -7.819006e-001,
3375000000, -7.803320e-001,
3376000000, -7.844772e-001,
3377000000, -7.821331e-001,
3378000000, -7.846087e-001,
3379000000, -7.838982e-001,
3380000000, -7.812764e-001,
3381000000, -7.786354e-001,
3382000000, -7.745551e-001,
3383000000, -7.811446e-001,
3384000000, -7.836429e-001,
3385000000, -7.860633e-001,
3386000000, -7.805070e-001,
3387000000, -7.827596e-001,
3388000000, -7.787116e-001,
3389000000, -7.786946e-001,
3390000000, -7.803816e-001,
3391000000, -7.793155e-001,
3392000000, -7.816532e-001,
3393000000, -7.819026e-001,
3394000000, -7.857446e-001,
3395000000, -7.828627e-001,
3396000000, -7.818768e-001,
3397000000, -7.850737e-001,
3398000000, -7.819673e-001,
3399000000, -7.804727e-001,
3400000000, -7.857818e-001,
3401000000, -7.840740e-001,
3402000000, -7.818254e-001,
3403000000, -7.839866e-001,
3404000000, -7.894216e-001,
3405000000, -7.870154e-001,
3406000000, -7.886472e-001,
3407000000, -7.900190e-001,
3408000000, -7.881168e-001,
3409000000, -7.850616e-001,
3410000000, -7.878810e-001,
3411000000, -7.905727e-001,
3412000000, -7.918969e-001,
3413000000, -7.892449e-001,
3414000000, -7.902523e-001,
3415000000, -7.898061e-001,
3416000000, -7.902057e-001,
3417000000, -7.879680e-001,
3418000000, -7.981152e-001,
3419000000, -7.939122e-001,
3420000000, -7.941861e-001,
3421000000, -7.913016e-001,
3422000000, -7.920448e-001,
3423000000, -7.872956e-001,
3424000000, -7.893601e-001,
3425000000, -7.900640e-001,
3426000000, -7.942021e-001,
3427000000, -7.879459e-001,
3428000000, -7.845449e-001,
3429000000, -7.899477e-001,
3430000000, -7.879209e-001,
3431000000, -7.923048e-001,
3432000000, -7.866641e-001,
3433000000, -7.884328e-001,
3434000000, -7.862777e-001,
3435000000, -7.852324e-001,
3436000000, -7.866544e-001,
3437000000, -7.887399e-001,
3438000000, -7.797733e-001,
3439000000, -7.790591e-001,
3440000000, -7.894593e-001,
3441000000, -7.851836e-001,
3442000000, -7.779614e-001,
3443000000, -7.750877e-001,
3444000000, -7.840837e-001,
3445000000, -7.863083e-001,
3446000000, -7.802792e-001,
3447000000, -7.819666e-001,
3448000000, -7.810153e-001,
3449000000, -7.798045e-001,
3450000000, -7.852720e-001,
3451000000, -7.789467e-001,
3452000000, -7.802963e-001,
3453000000, -7.845805e-001,
3454000000, -7.818791e-001,
3455000000, -7.900616e-001,
3456000000, -7.855049e-001,
3457000000, -7.840254e-001,
3458000000, -7.904269e-001,
3459000000, -7.922243e-001,
3460000000, -7.891441e-001,
3461000000, -7.934971e-001,
3462000000, -7.851074e-001,
3463000000, -7.970232e-001,
3464000000, -7.919722e-001,
3465000000, -7.947293e-001,
3466000000, -7.904888e-001,
3467000000, -7.920806e-001,
3468000000, -7.915899e-001,
3469000000, -7.965878e-001,
3470000000, -8.029380e-001,
3471000000, -8.077248e-001,
3472000000, -7.930104e-001,
3473000000, -7.922653e-001,
3474000000, -8.030384e-001,
3475000000, -7.914793e-001,
3476000000, -7.973136e-001,
3477000000, -8.044373e-001,
3478000000, -7.985368e-001,
3479000000, -7.950641e-001,
3480000000, -7.975370e-001,
3481000000, -7.947078e-001,
3482000000, -8.040612e-001,
3483000000, -8.018606e-001,
3484000000, -7.933988e-001,
3485000000, -8.033536e-001,
3486000000, -8.001950e-001,
3487000000, -8.038743e-001,
3488000000, -7.973490e-001,
3489000000, -7.976105e-001,
3490000000, -7.987169e-001,
3491000000, -7.894514e-001,
3492000000, -7.926032e-001,
3493000000, -7.959545e-001,
3494000000, -7.914758e-001,
3495000000, -7.868452e-001,
3496000000, -7.913296e-001,
3497000000, -7.909122e-001,
3498000000, -7.901177e-001,
3499000000, -7.866368e-001,
3500000000, -7.823497e-001,
3501000000, -7.794644e-001,
3502000000, -7.829586e-001,
3503000000, -7.710357e-001,
3504000000, -7.744530e-001,
3505000000, -7.762125e-001,
3506000000, -7.758468e-001,
3507000000, -7.819377e-001,
3508000000, -7.745926e-001,
3509000000, -7.747244e-001,
3510000000, -7.743734e-001,
3511000000, -7.675159e-001,
3512000000, -7.599767e-001,
3513000000, -7.640166e-001,
3514000000, -7.741898e-001,
3515000000, -7.752208e-001,
3516000000, -7.731884e-001,
3517000000, -7.724177e-001,
3518000000, -7.658346e-001,
3519000000, -7.697133e-001,
3520000000, -7.696971e-001,
3521000000, -7.745813e-001,
3522000000, -7.720406e-001,
3523000000, -7.690275e-001,
