FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AVVF06.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-068.552,004.1128,-036.989,-110.1986,
-071.091,032.8173,-036.990,-110.1766,
-070.874,064.1012,-036.993,-110.1883,
-068.478,087.8926,-037.002,-110.2033,
-065.589,100.4294,-036.966,-110.1858,
-063.617,105.9534,-036.975,-110.2069,
-061.866,109.4210,-036.968,-110.2055,
-060.346,111.7372,-036.951,-110.1851,
-058.978,113.2469,-036.955,-110.1986,
-057.804,114.3690,-036.959,-110.2194,
-056.723,115.1961,-036.976,-110.2533,
-055.652,115.9142,-036.960,-110.2422,
-054.897,116.2052,-036.963,-110.2675,
-054.091,116.5774,-036.957,-110.2335,
-053.317,116.6740,-036.965,-110.2582,
-052.784,116.8006,-036.976,-110.2829,
-052.231,117.2120,-036.985,-110.2898,
-051.658,117.9424,-037.000,-110.2925,
-051.278,118.5384,-037.009,-110.3011,
-050.787,119.4894,-037.021,-110.3350,
-050.327,120.6939,-037.025,-110.3218,
-049.995,121.6040,-037.015,-110.3073,
-049.558,122.8412,-036.998,-110.3053,
-049.185,124.2251,-037.006,-110.2858,
-048.891,125.0173,-037.012,-110.2758,
-048.517,126.4773,-036.986,-110.2858,
-048.245,127.1300,-036.979,-110.2643,
-048.023,128.0266,-036.980,-110.2672,
-047.723,129.3494,-036.981,-110.2050,
-047.495,130.4174,-036.971,-110.2469,
-047.341,131.2663,-036.960,-110.2135,
-047.155,132.4620,-036.966,-110.2210,
-047.025,133.4838,-036.963,-110.2299,
-046.933,134.4099,-036.998,-110.2602,
-046.855,135.8677,-036.999,-110.2546,
-046.810,136.9447,-036.988,-110.2520,
-046.816,138.0151,-036.992,-110.2654,
-046.841,139.5676,-036.989,-110.2352,
-046.883,141.0061,-036.971,-110.2092,
-046.971,142.6232,-036.985,-110.2331,
-047.136,144.9282,-037.007,-110.2443,
-047.262,146.6106,-037.013,-110.2686,
-047.442,148.5489,-037.010,-110.2625,
-047.653,151.1319,-037.000,-110.2559,
-047.815,152.8784,-036.986,-110.2498,
-048.099,155.7592,-036.986,-110.2428,
-048.408,157.5020,-036.973,-110.2160,
-048.704,159.7719,-036.963,-110.2021,
-049.132,163.2929,-036.934,-110.1788,
-049.599,166.9407,-036.926,-110.1478,
-050.027,169.9808,-036.922,-110.1661,
-050.672,175.0822,-036.890,-110.0900,
-051.265,178.6288,-036.886,-110.1049,
-051.861,-177.2888,-036.909,-110.1329,
-052.863,-170.7431,-036.899,-110.1025,
-053.574,-165.2689,-036.902,-110.1415,
-054.334,-159.3442,-036.908,-110.1148,
-055.375,-150.0415,-036.902,-110.1386,
-056.162,-141.9464,-036.920,-110.1588,
-056.985,-132.8858,-036.921,-110.1572,
-058.032,-120.0471,-036.924,-110.1326,
-058.799,-110.0642,-036.913,-110.1231,
-059.605,-096.1000,-036.959,-110.1282,
-059.999,-077.4237,-036.935,-110.1044,
-060.099,-063.1523,-036.925,-110.1222,
-059.753,-045.3908,-036.946,-110.1385,
-058.948,-029.2533,-036.973,-110.1641,
-058.286,-018.7789,-036.963,-110.1305,
-057.299,-005.2733,-036.975,-110.1452,
-056.319,005.5128,-036.979,-110.1574,
-055.572,013.2114,-036.987,-110.1627,
-054.516,022.9649,-036.970,-110.1858,
-053.778,029.9179,-036.966,-110.1698,
-053.187,035.6236,-036.945,-110.1826,
-052.391,043.5859,-036.934,-110.1910,
-051.843,049.2430,-036.932,-110.1780,
-051.377,055.1861,-036.935,-110.1916,
-050.796,062.8114,-036.893,-110.1115,
-050.404,068.3602,-036.897,-110.1267,
-049.952,074.4169,-036.887,-110.1076,
-049.522,081.7791,-036.886,-110.1101,
-049.202,086.5726,-036.889,-110.1124,
-048.847,092.1957,-036.883,-110.1248,
-048.532,098.6303,-036.892,-110.1444,
-048.334,103.2591,-036.889,-110.1517,
-048.125,109.0272,-036.893,-110.1498,
-047.962,114.4041,-036.913,-110.1914,
-047.826,118.1063,-036.906,-110.2112,
-047.718,124.1530,-036.884,-110.1975,
-047.671,129.3762,-036.903,-110.1999,
-047.638,134.4240,-036.896,-110.2194,
-047.602,140.9007,-036.909,-110.2408,
-047.620,146.2753,-036.910,-110.2410,
-047.672,150.9812,-036.899,-110.2448,
-047.784,158.0948,-036.893,-110.2191,
-047.941,163.2043,-036.898,-110.1755,
-048.101,168.3243,-036.897,-110.1735,
-048.400,175.7912,-036.876,-110.1423,
-048.670,-178.7651,-036.880,-110.1345,
-048.988,-173.0245,-036.879,-110.1352,
-049.407,-165.2122,-036.909,-110.1781,
-049.689,-158.8515,-036.885,-110.1588,
-050.088,-151.9018,-036.890,-110.1767,
-050.581,-143.7897,-036.881,-110.1767,
-051.002,-137.1970,-036.896,-110.2051,
-051.542,-129.1791,-036.880,-110.1861,
-052.117,-119.8674,-036.890,-110.1685,
-052.530,-112.3786,-036.898,-110.1560,
-053.065,-101.6919,-036.906,-110.1427,
-053.520,-091.2257,-036.905,-110.1476,
-053.838,-082.2523,-036.919,-110.1786,
-054.193,-068.9298,-036.925,-110.2129,
-054.329,-057.9381,-036.942,-110.2300,
-054.370,-048.3172,-036.953,-110.2530,
-054.371,-034.4704,-036.970,-110.2474,
-054.347,-025.2512,-036.995,-110.2314,
-054.219,-014.8005,-036.970,-110.2154,
-053.944,-001.9633,-036.948,-110.1800,
-053.681,006.5882,-036.950,-110.1829,
-053.302,015.7266,-036.937,-110.1621,
-052.889,026.2727,-036.935,-110.1909,
-052.536,033.5333,-036.921,-110.1792,
-052.122,041.3823,-036.946,-110.2202,
-051.630,050.0183,-036.953,-110.2165,
-051.276,055.7427,-036.928,-110.1908,
-050.815,062.5925,-036.935,-110.1967,
-050.362,069.8746,-036.922,-110.1621,
-050.181,074.8004,-036.905,-110.1591,
-049.902,081.3281,-036.908,-110.1255,
-049.830,087.5254,-036.915,-110.1371,
-049.692,092.1883,-036.932,-110.1791,
-049.605,098.4228,-036.943,-110.1940,
-049.610,104.2436,-036.992,-110.2564,
-049.688,109.4932,-036.956,-110.2346,
-049.601,115.5253,-036.992,-110.2638,
-049.604,120.5235,-037.003,-110.2968,
-049.572,125.1898,-037.027,-110.2974,
-049.520,131.2253,-037.033,-110.2984,
-049.397,134.6352,-037.003,-110.2653,
-049.487,139.6710,-037.032,-110.3064,
-049.560,145.5289,-037.018,-110.2829,
-049.697,150.1357,-037.014,-110.3107,
-049.729,154.5258,-037.020,-110.2858,
-049.837,159.4740,-036.993,-110.2493,
