FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AHVF063.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6.3,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-066.458,-170.6293,-040.690,-114.9418,
-066.534,-170.1474,-040.689,-114.9459,
-066.611,-169.9666,-040.690,-114.9483,
-066.610,-170.1044,-040.699,-114.9532,
-066.644,-170.3361,-040.681,-114.9427,
-066.705,-170.9470,-040.671,-114.9459,
-066.904,-171.0632,-040.691,-114.9541,
-067.091,-171.8208,-040.695,-114.9369,
-067.454,-170.8926,-040.721,-114.9426,
-067.637,-170.6790,-040.739,-114.9451,
-067.696,-169.9370,-040.700,-114.9292,
-067.639,-168.9899,-040.724,-114.9507,
-067.397,-167.6532,-040.743,-114.9477,
-067.096,-166.5811,-040.747,-114.9409,
-066.723,-165.5583,-040.720,-114.9513,
-066.376,-164.8618,-040.749,-114.9407,
-066.232,-164.0101,-040.733,-114.9456,
-065.991,-163.4424,-040.728,-114.9399,
-065.862,-162.7676,-040.718,-114.9385,
-065.746,-162.5429,-040.741,-114.9395,
-065.648,-162.3066,-040.737,-114.9429,
-065.544,-161.9801,-040.734,-114.9315,
-065.428,-161.8094,-040.707,-114.9305,
-065.381,-162.0062,-040.651,-114.9199,
-065.329,-162.2255,-040.654,-114.9102,
-065.339,-162.1636,-040.662,-114.8954,
-065.368,-161.9384,-040.728,-114.9260,
-065.389,-162.3044,-040.733,-114.9383,
-065.671,-161.9930,-040.722,-114.9211,
-065.864,-162.0914,-040.742,-114.9313,
-065.941,-161.7676,-040.727,-114.9274,
-066.016,-160.5680,-040.732,-114.9259,
-066.169,-160.3257,-040.720,-114.9342,
-066.440,-160.3217,-040.705,-114.9276,
-066.596,-159.0624,-040.726,-114.9350,
-066.710,-156.8819,-040.741,-114.9328,
-066.513,-154.6474,-040.735,-114.9346,
-066.653,-151.8333,-040.726,-114.9283,
-066.573,-150.4984,-040.694,-114.9264,
-066.337,-148.7723,-040.682,-114.9201,
-066.053,-147.6787,-040.679,-114.9260,
-065.977,-147.6054,-040.664,-114.9109,
-065.792,-147.3973,-040.647,-114.9103,
-066.031,-146.8657,-040.684,-114.9283,
-066.084,-146.2999,-040.699,-114.9334,
-066.260,-145.2832,-040.676,-114.9325,
-066.718,-142.9662,-040.687,-114.9317,
-066.814,-140.9904,-040.711,-114.9357,
-067.059,-140.0032,-040.718,-114.9278,
-067.409,-137.6701,-040.726,-114.9376,
-067.752,-134.5711,-040.739,-114.9379,
-067.951,-133.5342,-040.727,-114.9329,
-068.470,-131.7054,-040.758,-114.9449,
-068.749,-128.1731,-040.767,-114.9546,
-069.178,-122.8995,-040.745,-114.9500,
-069.614,-119.9880,-040.736,-114.9504,
-070.058,-118.6743,-040.760,-114.9539,
-070.579,-115.0187,-040.751,-114.9516,
-070.735,-114.7376,-040.755,-114.9569,
-071.496,-110.4419,-040.762,-114.9529,
-072.395,-105.5928,-040.756,-114.9554,
-073.051,-103.2580,-040.767,-114.9586,
-073.833,-106.4753,-040.762,-114.9689,
-074.837,-100.9253,-040.762,-114.9415,
-076.033,-101.5948,-040.725,-114.9591,
-077.586,-105.3035,-040.756,-114.9699,
-079.024,-107.5825,-040.774,-114.9700,
-079.442,-109.1404,-040.751,-114.9562,
-080.118,-121.5767,-040.815,-114.9617,
-080.514,-131.7671,-040.814,-114.9887,
-079.555,-134.2114,-040.806,-114.9776,
-078.579,-129.4705,-040.797,-114.9752,
-078.185,-142.8734,-040.798,-114.9562,
-077.753,-152.8631,-040.760,-114.9479,
-077.445,-161.0774,-040.809,-114.9590,
-076.751,-162.8289,-040.829,-114.9774,
-075.375,-169.3249,-040.881,-114.9935,
-075.188,-165.9489,-040.883,-114.9973,
-074.235,-168.4014,-040.856,-114.9953,
-074.626,-167.5115,-040.860,-114.9899,
-074.935,-161.9475,-040.848,-114.9814,
-074.431,-159.4539,-040.809,-114.9865,
-074.466,-160.4406,-040.839,-114.9662,
-074.568,-153.5698,-040.799,-114.9547,
-074.873,-145.1925,-040.784,-114.9542,
-075.976,-133.5041,-040.766,-114.9547,
-076.153,-123.6197,-040.784,-114.9421,
-076.134,-116.9063,-040.777,-114.9481,
-074.896,-112.0500,-040.770,-114.9541,
-074.236,-097.7271,-040.764,-114.9505,
-073.722,-089.7575,-040.781,-114.9601,
-072.943,-080.9058,-040.803,-114.9760,
-072.083,-075.2342,-040.789,-114.9619,
-071.789,-072.4429,-040.776,-114.9530,
-071.076,-066.7278,-040.767,-114.9567,
-071.091,-066.9261,-040.773,-114.9468,
-070.146,-059.1052,-040.765,-114.9451,
-069.822,-057.8452,-040.763,-114.9407,
-068.829,-049.9032,-040.776,-114.9455,
-068.558,-047.4474,-040.740,-114.9469,
-067.437,-043.0426,-040.778,-114.9399,
-067.349,-042.0808,-040.750,-114.9471,
-067.039,-038.2532,-040.758,-114.9482,
-066.861,-035.0007,-040.753,-114.9305,
-066.518,-030.7585,-040.781,-114.9307,
-066.039,-027.4573,-040.744,-114.9256,
-065.814,-024.7273,-040.771,-114.9325,
-065.723,-023.6394,-040.753,-114.9259,
-065.185,-018.6429,-040.772,-114.9230,
-065.221,-017.5514,-040.767,-114.9318,
-064.861,-012.9447,-040.787,-114.9382,
-064.964,-010.8613,-040.799,-114.9413,
-064.817,-006.3060,-040.771,-114.9351,
-064.982,-004.6449,-040.782,-114.9205,
-064.915,-000.5491,-040.807,-114.9385,
-065.224,002.5124,-040.812,-114.9423,
-064.927,007.8152,-040.791,-114.9354,
-065.568,009.9225,-040.754,-114.9250,
-065.924,012.5540,-040.769,-114.9302,
-066.288,014.3732,-040.786,-114.9478,
-066.633,017.0018,-040.792,-114.9767,
-066.497,020.4670,-040.783,-114.9584,
-067.423,021.6872,-040.806,-114.9789,
-067.969,023.1063,-040.844,-114.9962,
-067.914,024.8725,-040.826,-114.9605,
-067.667,028.0457,-040.802,-114.9702,
-068.190,028.5780,-040.809,-114.9784,
-068.314,029.3396,-040.809,-114.9583,
-068.465,029.0407,-040.791,-114.9710,
-068.506,029.8423,-040.738,-114.9513,
-068.173,033.0387,-040.724,-114.9453,
-068.085,034.5190,-040.783,-114.9584,
-068.940,032.5520,-040.711,-114.9417,
-069.154,030.8884,-040.734,-114.9427,
-068.748,032.0445,-040.735,-114.9373,
-068.881,031.0128,-040.703,-114.9393,
-068.802,030.2881,-040.687,-114.9462,
-068.897,027.5009,-040.679,-114.9293,
-069.150,026.3943,-040.694,-114.9336,
-069.134,026.8328,-040.669,-114.9272,
