FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVVF063.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,6.3,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-070.545,-119.7165,-037.666,-113.2682,
-068.785,-108.0645,-037.664,-113.2514,
-067.118,-098.6454,-037.655,-113.2369,
-065.997,-091.6556,-037.654,-113.2394,
-064.983,-084.7885,-037.618,-113.2009,
-064.195,-079.0104,-037.609,-113.2223,
-063.625,-075.1301,-037.601,-113.2157,
-062.947,-070.7588,-037.572,-113.1808,
-062.242,-066.6752,-037.567,-113.1865,
-061.817,-063.7569,-037.589,-113.2058,
-061.314,-059.8648,-037.582,-113.1697,
-060.851,-055.9782,-037.582,-113.1852,
-060.562,-052.9148,-037.599,-113.2092,
-060.254,-048.8758,-037.591,-113.2178,
-060.020,-045.1101,-037.618,-113.2167,
-059.862,-042.5001,-037.650,-113.2622,
-059.682,-038.4063,-037.626,-113.2399,
-059.558,-034.6582,-037.660,-113.2689,
-059.456,-031.7507,-037.665,-113.2492,
-059.363,-027.3854,-037.656,-113.2590,
-059.339,-023.2443,-037.644,-113.2506,
-059.366,-020.0277,-037.639,-113.2393,
-059.493,-014.6512,-037.613,-113.2133,
-059.653,-010.9996,-037.586,-113.1817,
-059.835,-008.7296,-037.589,-113.2213,
-060.125,-004.6109,-037.586,-113.1949,
-060.319,-001.7026,-037.617,-113.2134,
-060.480,000.7186,-037.625,-113.2262,
-060.794,005.1900,-037.635,-113.2381,
-061.009,008.4837,-037.644,-113.2526,
-061.193,011.7674,-037.623,-113.2222,
-061.585,017.3196,-037.639,-113.2553,
-061.899,020.8868,-037.647,-113.2719,
-062.252,024.2218,-037.643,-113.2444,
-062.940,028.2750,-037.632,-113.2488,
-063.432,030.3838,-037.653,-113.2575,
-064.041,032.4550,-037.645,-113.2463,
-065.045,034.9355,-037.632,-113.2534,
-065.765,035.4471,-037.611,-113.2407,
-066.561,035.7675,-037.600,-113.2266,
-067.855,034.6389,-037.592,-113.2314,
-068.643,032.5995,-037.610,-113.2459,
-069.840,027.2005,-037.614,-113.2351,
-070.887,016.1994,-037.618,-113.2428,
-071.152,006.3117,-037.616,-113.2120,
-070.672,-009.8018,-037.621,-113.2326,
-069.145,-021.9316,-037.605,-113.2031,
-067.890,-027.6580,-037.622,-113.2263,
-066.028,-032.1081,-037.606,-113.2138,
-064.479,-033.4624,-037.598,-113.2125,
-063.354,-033.7315,-037.601,-113.2114,
-061.696,-031.9051,-037.565,-113.1846,
-060.625,-029.8977,-037.544,-113.1476,
-059.742,-027.3323,-037.554,-113.1795,
-058.574,-023.4409,-037.561,-113.1815,
-057.764,-020.0286,-037.565,-113.1871,
-056.954,-015.9049,-037.569,-113.2014,
-056.056,-010.2829,-037.589,-113.2186,
-055.467,-005.8581,-037.597,-113.2129,
-054.810,000.0649,-037.601,-113.2205,
-054.112,006.8048,-037.613,-113.2382,
-053.611,012.0817,-037.628,-113.2270,
-053.046,018.9139,-037.630,-113.2382,
-052.496,026.0912,-037.628,-113.2584,
-052.068,031.8035,-037.607,-113.2469,
-051.525,039.3570,-037.592,-113.2433,
-051.074,046.4078,-037.582,-113.2213,
-050.693,052.1695,-037.600,-113.2366,
-050.188,060.3368,-037.608,-113.2503,
-049.833,066.6974,-037.594,-113.2308,
-049.508,072.4050,-037.610,-113.2559,
-049.153,080.4153,-037.621,-113.2446,
-048.953,086.2587,-037.624,-113.2574,
-048.754,092.8225,-037.619,-113.2370,
-048.592,101.1805,-037.619,-113.2470,
-048.491,106.8439,-037.632,-113.2636,
-048.430,114.2425,-037.646,-113.2808,
-048.370,122.8106,-037.638,-113.2781,
-048.322,129.1378,-037.644,-113.2834,
-048.306,137.5960,-037.635,-113.2672,
-048.307,146.1571,-037.641,-113.2834,
-048.322,152.6204,-037.625,-113.2689,
-048.366,161.8938,-037.606,-113.2382,
-048.462,171.0642,-037.611,-113.2576,
-048.535,177.5143,-037.594,-113.2095,
-048.626,-172.9573,-037.587,-113.2370,
-048.733,-164.1773,-037.613,-113.2429,
-048.821,-156.9521,-037.615,-113.2365,
-048.947,-145.8652,-037.617,-113.2554,
-049.038,-137.6792,-037.628,-113.2836,
-049.167,-130.2418,-037.649,-113.2851,
-049.316,-118.5554,-037.640,-113.2781,
-049.459,-110.2007,-037.642,-113.2820,
-049.492,-101.8646,-037.651,-113.2862,
-049.532,-090.1525,-037.662,-113.2944,
-049.557,-082.2902,-037.695,-113.3033,
-049.580,-072.8778,-037.705,-113.3136,
-049.533,-061.0725,-037.696,-113.3038,
-049.492,-053.1480,-037.655,-113.2595,
-049.461,-043.9779,-037.630,-113.2513,
-049.413,-032.3775,-037.639,-113.2384,
-049.374,-025.1566,-037.642,-113.2531,
-049.300,-016.0882,-037.632,-113.2486,
-049.213,-006.4479,-037.630,-113.2421,
-049.173,000.2408,-037.653,-113.2676,
-049.126,009.6442,-037.681,-113.3124,
-049.113,017.9184,-037.681,-113.2861,
-049.151,023.9704,-037.684,-113.2915,
-049.201,033.3893,-037.667,-113.3016,
-049.302,040.5475,-037.671,-113.3076,
-049.418,046.8728,-037.684,-113.3112,
-049.570,055.6469,-037.680,-113.3045,
-049.686,062.0160,-037.672,-113.2959,
-049.859,068.4900,-037.697,-113.3175,
-050.081,077.0700,-037.695,-113.3146,
-050.239,083.0573,-037.657,-113.2839,
-050.408,089.7059,-037.682,-113.2952,
-050.662,097.8134,-037.676,-113.2862,
-050.901,103.5568,-037.675,-113.2996,
-051.131,110.3709,-037.711,-113.3144,
-051.420,117.1679,-037.726,-113.3520,
-051.709,122.3652,-037.739,-113.3415,
-052.087,129.1216,-037.715,-113.3270,
-052.449,135.5457,-037.706,-113.3219,
-052.739,140.2755,-037.682,-113.3074,
-053.210,146.6810,-037.678,-113.2799,
-053.703,152.2491,-037.666,-113.3066,
-054.131,157.2565,-037.644,-113.2955,
-054.766,163.9058,-037.597,-113.2277,
-055.321,168.3540,-037.588,-113.2498,
-055.936,172.4940,-037.628,-113.2791,
-056.881,176.8952,-037.632,-113.2448,
-057.706,-179.8280,-037.647,-113.2736,
-058.781,-174.9372,-037.695,-113.3044,
-060.195,-168.6420,-037.705,-113.2957,
-061.299,-162.7526,-037.728,-113.3278,
-062.661,-151.4428,-037.727,-113.3244,
-064.645,-139.7740,-037.750,-113.3344,
-066.007,-130.6741,-037.719,-113.3356,
-067.101,-111.6757,-037.694,-113.3074,
-066.804,-092.2267,-037.681,-113.3112,
-066.476,-080.5037,-037.672,-113.2922,
