FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AVHF11.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,11,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-058.659,041.8293,-049.156,-114.1574,
-058.499,046.6285,-049.158,-114.1463,
-058.338,052.0070,-049.181,-114.1646,
-058.237,056.5929,-049.201,-114.1627,
-058.110,062.3721,-049.212,-114.1562,
-058.012,068.1951,-049.225,-114.1632,
-057.931,073.5016,-049.214,-114.1554,
-057.867,080.1263,-049.187,-114.1445,
-057.805,087.2536,-049.156,-114.1443,
-057.777,092.5117,-049.146,-114.1199,
-057.711,099.6107,-049.166,-114.1460,
-057.650,107.7661,-049.172,-114.1514,
-057.577,114.0787,-049.180,-114.1553,
-057.485,123.2976,-049.189,-114.1589,
-057.377,131.7552,-049.197,-114.1548,
-057.305,138.0212,-049.204,-114.1627,
-057.155,148.0116,-049.174,-114.1421,
-057.014,156.4871,-049.154,-114.1389,
-056.913,162.6361,-049.137,-114.1401,
-056.706,172.8846,-049.123,-114.1405,
-056.539,-178.3793,-049.145,-114.1394,
-056.423,-171.9588,-049.170,-114.1299,
-056.231,-161.1987,-049.192,-114.1388,
-056.108,-152.6319,-049.205,-114.1545,
-056.003,-146.4373,-049.210,-114.1442,
-055.868,-134.8529,-049.217,-114.1847,
-055.792,-127.0576,-049.231,-114.1685,
-055.777,-121.0695,-049.216,-114.1611,
-055.786,-109.6574,-049.209,-114.1647,
-055.824,-102.5688,-049.215,-114.1500,
-055.900,-095.2816,-049.221,-114.1641,
-056.098,-083.5316,-049.230,-114.1618,
-056.283,-076.5555,-049.233,-114.1679,
-056.529,-068.8744,-049.229,-114.1761,
-056.974,-056.9350,-049.218,-114.1675,
-057.286,-049.5392,-049.272,-114.1740,
-057.710,-040.8204,-049.288,-114.1793,
-058.333,-028.8498,-049.283,-114.1853,
-058.787,-021.0420,-049.242,-114.1849,
-059.435,-010.6385,-049.244,-114.1737,
-060.428,002.4098,-049.241,-114.1851,
-061.083,010.8157,-049.223,-114.1697,
-062.121,023.3962,-049.203,-114.1576,
-063.400,039.0621,-049.225,-114.1701,
-064.205,049.7646,-049.180,-114.1474,
-065.549,067.3313,-049.174,-114.1428,
-066.696,084.8769,-049.194,-114.1461,
-067.446,098.8643,-049.209,-114.1385,
-068.102,123.3741,-049.239,-114.1547,
-068.278,141.5914,-049.243,-114.1413,
-068.247,156.2454,-049.257,-114.1400,
-068.136,177.1828,-049.259,-114.1527,
-068.023,-169.3045,-049.247,-114.1339,
-067.935,-157.2552,-049.228,-114.1339,
-068.011,-141.6792,-049.228,-114.1232,
-068.027,-132.5242,-049.223,-114.1317,
-068.226,-123.9364,-049.218,-114.1260,
-068.559,-113.8270,-049.219,-114.1231,
-068.839,-107.6640,-049.204,-114.1248,
-069.258,-101.4718,-049.192,-114.1219,
-069.650,-095.4135,-049.199,-114.1297,
-070.070,-092.1372,-049.184,-114.1364,
-070.518,-088.6977,-049.157,-114.1423,
-070.776,-084.8216,-049.152,-114.1289,
-070.787,-082.4497,-049.153,-114.1390,
-070.455,-078.7657,-049.162,-114.1383,
-070.103,-072.5252,-049.179,-114.1527,
-069.582,-066.7749,-049.211,-114.1465,
-068.826,-057.3361,-049.219,-114.1664,
-068.227,-049.4813,-049.225,-114.1515,
-067.590,-040.8085,-049.228,-114.1683,
-066.801,-028.0749,-049.242,-114.1593,
-066.285,-018.2309,-049.235,-114.1451,
-065.784,-007.6815,-049.222,-114.1577,
-065.289,004.8198,-049.222,-114.1444,
-065.074,014.7077,-049.213,-114.1557,
-064.758,026.9705,-049.212,-114.1613,
-064.515,040.9529,-049.214,-114.1510,
-064.458,050.7815,-049.201,-114.1502,
-064.512,064.0281,-049.201,-114.1431,
-064.604,078.3919,-049.193,-114.1340,
-064.662,089.5867,-049.188,-114.1363,
-064.764,106.7659,-049.207,-114.1337,
-064.820,122.6159,-049.201,-114.1299,
-064.895,134.1854,-049.209,-114.1341,
-065.030,151.6265,-049.215,-114.1190,
-065.073,166.6255,-049.195,-114.1114,
-065.138,179.2784,-049.184,-114.1110,
-065.192,-161.7827,-049.169,-114.1135,
-065.216,-147.7602,-049.155,-114.0981,
-065.205,-134.1337,-049.139,-114.1184,
-065.194,-114.1523,-049.148,-114.1114,
-065.099,-100.7115,-049.170,-114.1184,
-065.080,-087.1123,-049.186,-114.1262,
-065.204,-071.0389,-049.189,-114.1527,
-065.364,-060.7037,-049.199,-114.1386,
-065.708,-048.1568,-049.204,-114.1565,
-066.302,-030.9946,-049.206,-114.1339,
-066.751,-019.5889,-049.208,-114.1422,
-067.330,-004.7114,-049.196,-114.1304,
-068.161,015.2147,-049.189,-114.1325,
-068.759,030.2762,-049.189,-114.1335,
-069.227,052.0803,-049.191,-114.1267,
-069.466,074.4445,-049.197,-114.1215,
-069.579,089.1600,-049.214,-114.1184,
-069.604,110.5503,-049.193,-114.1261,
-069.511,130.2839,-049.184,-114.1250,
-069.180,144.5360,-049.176,-114.1132,
-068.598,164.0963,-049.170,-114.1262,
-068.110,177.6086,-049.158,-114.1217,
-067.752,-170.0924,-049.151,-114.1178,
-066.994,-152.0639,-049.148,-114.1211,
-066.452,-140.1051,-049.157,-114.1327,
-066.035,-127.9242,-049.166,-114.1432,
-065.617,-112.9411,-049.172,-114.1408,
-065.373,-103.2721,-049.186,-114.1554,
-065.076,-091.8577,-049.193,-114.1596,
-064.774,-078.3292,-049.194,-114.1461,
-064.557,-068.9472,-049.201,-114.1583,
-064.333,-057.4506,-049.205,-114.1535,
-064.079,-046.3181,-049.209,-114.1559,
-063.965,-038.0921,-049.214,-114.1502,
-063.811,-027.1525,-049.211,-114.1581,
-063.472,-017.5114,-049.213,-114.1540,
-063.105,-010.2442,-049.209,-114.1603,
-062.769,-002.5784,-049.183,-114.1589,
-062.564,003.5381,-049.171,-114.1481,
-062.535,009.0235,-049.161,-114.1429,
-062.489,016.2294,-049.169,-114.1452,
-062.522,020.8035,-049.172,-114.1575,
-062.607,025.3247,-049.177,-114.1376,
-062.797,030.5685,-049.164,-114.1377,
-062.974,034.4821,-049.132,-114.1380,
-063.214,039.7803,-049.100,-114.1312,
-063.505,045.3588,-049.071,-114.1132,
-063.679,049.6718,-049.051,-114.1076,
-063.893,055.0584,-049.045,-114.0875,
-064.080,060.2746,-049.061,-114.0953,
-064.189,063.5500,-049.085,-114.0909,
-064.343,068.3727,-049.101,-114.0776,
-064.476,072.3199,-049.122,-114.0901,
-064.570,074.7735,-049.105,-114.0991,
