FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AHVF14.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,14,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-074.501,122.1885,-055.911,151.9993,
-074.748,127.6450,-055.967,151.9804,
-074.910,133.8206,-055.953,151.9644,
-074.656,137.5428,-055.939,151.9928,
-074.153,140.3988,-055.968,151.9745,
-073.557,143.2883,-055.923,151.9811,
-072.878,144.5904,-055.947,151.9790,
-072.107,144.6119,-055.922,151.9861,
-071.175,146.2645,-055.868,152.0055,
-070.390,147.4139,-055.895,151.9638,
-069.361,150.8202,-055.879,151.9951,
-068.474,156.6089,-055.836,152.0003,
-067.871,161.6853,-055.850,151.9866,
-066.987,167.8391,-055.932,152.0082,
-066.249,174.2590,-055.966,151.9738,
-065.669,179.5781,-055.950,151.9967,
-064.642,-172.9003,-055.930,151.9904,
-063.924,-167.2073,-055.892,151.9920,
-063.448,-162.2054,-055.890,152.0294,
-062.702,-153.8623,-055.969,152.0107,
-062.175,-146.2908,-055.953,152.0173,
-061.767,-140.9787,-056.065,152.0105,
-061.087,-131.5112,-056.089,152.0066,
-060.542,-123.4400,-056.096,152.0015,
-060.168,-116.8251,-056.044,152.0333,
-059.551,-104.6096,-055.922,152.0701,
-059.133,-096.4852,-055.924,152.0764,
-058.772,-089.9344,-055.861,152.1033,
-058.128,-077.7401,-055.915,152.1036,
-057.780,-070.6640,-055.947,152.1160,
-057.513,-063.4350,-055.900,152.1574,
-057.127,-051.2025,-055.924,152.1501,
-056.904,-043.2701,-055.901,152.1449,
-056.654,-034.2084,-055.940,152.1687,
-056.278,-020.0858,-055.969,152.1635,
-056.090,-012.1338,-055.973,152.1273,
-055.867,-003.0100,-055.936,152.1578,
-055.623,012.2366,-055.867,152.1689,
-055.518,020.9476,-055.909,152.1656,
-055.415,030.9567,-055.887,152.1964,
-055.265,045.6861,-056.031,152.1612,
-055.195,055.4089,-056.042,152.1353,
-055.067,068.8038,-055.991,152.1276,
-054.903,084.2678,-055.946,152.0950,
-054.795,093.4940,-055.961,152.1080,
-054.657,108.2665,-055.964,152.1278,
-054.537,122.9619,-055.990,152.1171,
-054.447,133.8991,-056.056,152.1042,
-054.355,151.2862,-056.008,152.0758,
-054.273,165.4180,-056.042,152.0394,
-054.179,177.0743,-055.975,152.0185,
-054.006,-164.3526,-055.932,152.0924,
-053.898,-150.7633,-055.951,152.1297,
-053.799,-137.4380,-055.874,152.1993,
-053.671,-119.4567,-055.991,152.1660,
-053.547,-106.3483,-055.951,152.1402,
-053.373,-091.2606,-055.858,152.1522,
-053.152,-073.1742,-055.960,152.1927,
-052.997,-060.2941,-055.875,152.2542,
-052.879,-045.4372,-055.870,152.3004,
-052.831,-028.1415,-055.899,152.2365,
-052.833,-015.0227,-055.868,152.2019,
-052.888,000.6452,-055.877,152.1398,
-052.897,018.3101,-055.870,152.2254,
-052.914,031.8201,-055.844,152.2668,
-052.896,049.4545,-055.947,152.2588,
-052.893,066.4776,-055.867,152.1870,
-052.941,079.7035,-055.931,152.1356,
-052.972,098.8227,-056.020,152.0884,
-053.065,113.7918,-055.963,152.1184,
-053.189,127.5877,-055.966,152.1333,
-053.383,147.1470,-055.922,152.1322,
-053.560,161.3186,-055.873,152.0815,
-053.776,177.1622,-055.849,152.0455,
-054.047,-164.2743,-055.909,152.0654,
-054.252,-150.1387,-055.910,152.1255,
-054.549,-132.9392,-055.908,152.1437,
-054.956,-114.2821,-055.941,152.1772,
-055.283,-100.4021,-055.877,152.1418,
-055.745,-081.6156,-055.887,152.1498,
-056.217,-063.0911,-055.888,152.1658,
-056.597,-049.3897,-055.923,152.1797,
-057.244,-029.9121,-055.966,152.1380,
-057.911,-010.3943,-055.921,152.1247,
-058.400,003.8531,-055.954,152.1082,
-059.107,026.0035,-055.881,152.1184,
-059.559,045.3087,-055.861,152.1148,
-059.943,060.9718,-055.913,152.0734,
-060.475,085.5153,-055.877,152.0714,
-060.813,103.2668,-055.945,152.0492,
-061.194,118.7928,-055.908,152.0590,
-061.756,141.2224,-055.906,152.0402,
-062.312,156.8023,-055.956,152.0090,
-062.954,172.5700,-055.960,151.9921,
-063.998,-165.4978,-055.975,152.0146,
-064.829,-150.2271,-055.991,152.0188,
-065.858,-133.6856,-055.934,152.0003,
-067.754,-109.1021,-055.899,152.0156,
-069.388,-089.7570,-055.916,152.0146,
-071.366,-062.4577,-055.921,152.0062,
-073.220,-022.7899,-055.923,152.0001,
-073.331,009.7885,-055.958,152.0031,
-072.060,047.6219,-055.938,152.0101,
-070.261,078.2444,-055.890,152.0104,
-069.221,096.0660,-055.913,152.0266,
-067.908,119.1261,-055.897,152.0226,
-066.659,138.9733,-055.956,152.0119,
-065.906,152.8810,-055.964,151.9933,
-064.780,173.2330,-055.994,151.9826,
-064.131,-171.8424,-055.999,152.0040,
-063.574,-159.8074,-056.002,152.0074,
-062.949,-142.2059,-055.943,152.0141,
-062.744,-129.6793,-055.908,152.0189,
-062.585,-115.9048,-055.957,152.0186,
-062.500,-098.8030,-055.913,152.0219,
-062.496,-087.1594,-055.906,152.0354,
-062.541,-073.8281,-055.947,152.0326,
-062.734,-057.6802,-055.926,152.0303,
-063.002,-046.8127,-055.842,152.0580,
-063.394,-032.3901,-055.835,152.0647,
-063.806,-016.5878,-055.844,152.0425,
-064.034,-003.8009,-055.877,152.0476,
-064.468,013.6823,-055.845,152.0424,
-064.755,029.2396,-055.813,152.0655,
-064.845,043.6258,-055.792,152.0678,
-064.827,060.5396,-055.848,152.0419,
-064.644,074.9005,-055.808,152.0333,
-064.439,086.9620,-055.850,152.0254,
-064.300,101.3801,-055.856,152.0349,
-064.315,111.7987,-055.861,152.0398,
-064.264,121.9791,-055.905,152.0128,
-064.083,134.9440,-055.894,152.0363,
-063.920,143.4926,-056.000,151.9961,
-063.703,154.1333,-056.020,151.9967,
-063.474,163.0847,-055.964,152.0020,
-063.400,168.6257,-055.944,151.9919,
-063.240,176.0276,-055.888,152.0440,
-063.181,-176.4481,-055.997,152.0120,
-063.113,-172.1121,-055.952,152.0242,
-063.003,-165.3674,-055.944,152.0254,
-062.918,-159.5256,-055.913,152.0409,
-062.887,-155.1387,-055.961,152.0236,
-062.891,-149.0614,-056.017,152.0010,
-063.056,-144.5999,-055.950,152.0225,
-063.226,-140.7941,-055.982,152.0155,
-063.575,-133.8218,-055.907,152.0468,
-063.846,-127.6787,-055.885,152.0473,
-064.076,-123.0692,-055.920,152.0484,
-064.154,-113.4567,-055.862,152.0595,
