FILENAME,E:\T_23\23_USP\ACQUIREDDATA\1AVHF09.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,9,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-056.761,078.7794,-046.583,-113.8482,
-056.906,076.7863,-046.564,-113.8580,
-057.043,075.1494,-046.557,-113.8633,
-057.214,073.4296,-046.547,-113.8489,
-057.411,071.7827,-046.539,-113.8474,
-057.670,070.1534,-046.534,-113.8330,
-057.959,068.7974,-046.539,-113.8295,
-058.284,067.4765,-046.542,-113.8363,
-058.777,066.1748,-046.545,-113.8256,
-059.258,065.0358,-046.560,-113.8233,
-059.843,064.0605,-046.559,-113.8191,
-060.644,063.1076,-046.549,-113.8202,
-061.384,062.3415,-046.542,-113.8187,
-062.353,061.1817,-046.532,-113.8207,
-063.617,059.6082,-046.529,-113.8009,
-064.800,057.7565,-046.517,-113.7968,
-066.541,054.9778,-046.512,-113.7906,
-068.969,050.3387,-046.527,-113.7886,
-071.322,044.6932,-046.536,-113.7907,
-075.130,031.4444,-046.537,-113.7892,
-079.099,-002.1139,-046.523,-113.8041,
-078.513,-044.4137,-046.510,-113.7972,
-074.776,-071.1587,-046.511,-113.7987,
-071.585,-080.8275,-046.499,-113.7819,
-069.852,-083.5134,-046.501,-113.7785,
-067.936,-084.9540,-046.510,-113.7853,
-066.674,-084.8426,-046.505,-113.7811,
-065.863,-083.3582,-046.505,-113.7832,
-065.059,-079.9250,-046.514,-113.7821,
-064.496,-075.6969,-046.514,-113.7933,
-064.088,-071.5612,-046.509,-113.7902,
-063.500,-065.0074,-046.502,-113.7972,
-063.099,-059.2254,-046.506,-113.8011,
-062.813,-054.5759,-046.501,-113.8012,
-062.428,-046.5667,-046.500,-113.7995,
-062.227,-040.4139,-046.497,-113.8072,
-062.022,-033.9441,-046.471,-113.7973,
-061.787,-024.5591,-046.459,-113.7921,
-061.636,-017.4174,-046.467,-113.7952,
-061.470,-009.4417,-046.476,-113.8053,
-061.323,000.8047,-046.498,-113.8204,
-061.167,008.6232,-046.499,-113.8052,
-060.986,017.8588,-046.511,-113.8196,
-060.713,028.6943,-046.500,-113.8197,
-060.475,037.0214,-046.487,-113.8194,
-060.200,047.2753,-046.467,-113.8165,
-059.908,058.2498,-046.458,-113.8092,
-059.710,066.9136,-046.458,-113.8054,
-059.364,077.9307,-046.469,-113.8102,
-059.024,088.5018,-046.480,-113.8222,
-058.727,096.7043,-046.486,-113.8291,
-058.353,107.2826,-046.484,-113.8266,
-058.047,116.5846,-046.492,-113.8350,
-057.815,124.4498,-046.507,-113.8322,
-057.463,135.8592,-046.507,-113.8459,
-057.259,144.4758,-046.509,-113.8472,
-057.079,152.4387,-046.512,-113.8527,
-056.930,163.2486,-046.514,-113.8405,
-056.864,171.5686,-046.510,-113.8442,
-056.845,-179.6082,-046.520,-113.8450,
-056.901,-169.0664,-046.522,-113.8490,
-056.974,-160.7155,-046.519,-113.8433,
-057.105,-150.8438,-046.536,-113.8419,
-057.322,-139.0867,-046.535,-113.8481,
-057.538,-129.6346,-046.534,-113.8438,
-057.797,-118.0811,-046.530,-113.8276,
-058.139,-105.0137,-046.525,-113.8253,
-058.357,-094.2017,-046.533,-113.8202,
-058.629,-079.1245,-046.543,-113.8234,
-058.760,-065.2930,-046.558,-113.8168,
-058.776,-054.0265,-046.573,-113.8231,
-058.757,-038.2910,-046.584,-113.8379,
-058.674,-024.6434,-046.584,-113.8432,
-058.536,-012.7968,-046.580,-113.8288,
-058.310,003.1563,-046.574,-113.8208,
-058.139,014.6841,-046.577,-113.8114,
-057.956,026.0508,-046.581,-113.8219,
-057.693,040.9167,-046.586,-113.8281,
-057.518,051.8294,-046.602,-113.8296,
-057.383,063.1140,-046.596,-113.8184,
-057.264,076.1016,-046.601,-113.8085,
-057.224,085.8438,-046.594,-113.8055,
-057.244,097.7814,-046.576,-113.7955,
-057.317,110.4542,-046.577,-113.8148,
-057.414,120.0089,-046.584,-113.8158,
-057.573,132.1794,-046.586,-113.8251,
-057.823,144.8571,-046.612,-113.8193,
-058.018,155.1286,-046.620,-113.8195,
-058.309,169.7922,-046.618,-113.8141,
-058.599,-176.7061,-046.622,-113.7977,
-058.783,-165.9191,-046.613,-113.8059,
-059.073,-149.7477,-046.594,-113.7896,
-059.311,-136.2493,-046.588,-113.7970,
-059.512,-125.1690,-046.589,-113.8032,
-059.845,-108.9542,-046.602,-113.8140,
-060.028,-096.0575,-046.623,-113.8185,
-060.237,-083.7054,-046.619,-113.8230,
-060.400,-066.6622,-046.634,-113.8243,
-060.469,-053.8067,-046.640,-113.8322,
-060.564,-040.8347,-046.626,-113.8214,
-060.691,-024.2335,-046.620,-113.8169,
-060.765,-011.5526,-046.602,-113.8008,
-060.872,002.2354,-046.595,-113.8090,
-061.053,017.6443,-046.589,-113.8111,
-061.193,029.6029,-046.581,-113.7979,
-061.344,043.3042,-046.588,-113.8074,
-061.543,058.3944,-046.600,-113.8133,
-061.692,069.9724,-046.611,-113.8124,
-061.928,084.9162,-046.599,-113.7999,
-062.132,099.3236,-046.601,-113.8060,
-062.314,111.6679,-046.595,-113.8037,
-062.490,128.2288,-046.580,-113.8066,
-062.596,141.5933,-046.582,-113.8105,
-062.689,153.4433,-046.580,-113.8032,
-062.750,169.3470,-046.603,-113.7973,
-062.814,-178.5125,-046.604,-113.8037,
-062.902,-167.2375,-046.624,-113.7986,
-063.019,-153.0069,-046.620,-113.8076,
-063.097,-141.8061,-046.594,-113.8067,
-063.219,-129.8904,-046.578,-113.7982,
-063.389,-116.4037,-046.576,-113.7962,
-063.531,-106.7716,-046.591,-113.8168,
-063.678,-096.0052,-046.618,-113.8213,
-063.912,-084.0786,-046.627,-113.8243,
-064.185,-075.0431,-046.615,-113.8113,
-064.492,-064.8222,-046.591,-113.8043,
-064.849,-054.7421,-046.576,-113.8052,
-065.119,-047.5531,-046.575,-113.8043,
-065.624,-037.7084,-046.575,-113.7953,
-066.047,-029.1189,-046.583,-113.8023,
-066.476,-022.6928,-046.590,-113.8036,
-067.057,-014.3951,-046.611,-113.8027,
-067.747,-007.9595,-046.620,-113.8018,
-068.237,-002.7207,-046.618,-113.8090,
-069.163,003.5563,-046.627,-113.7941,
-069.678,007.3729,-046.609,-113.7864,
-070.206,009.7712,-046.612,-113.7871,
-070.918,013.3077,-046.619,-113.7889,
-071.400,014.8556,-046.605,-113.7969,
-071.668,016.6103,-046.598,-113.7932,
-071.894,018.0689,-046.597,-113.7915,
-072.062,018.7186,-046.601,-113.7946,
