FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AHHF07.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,7.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-062.478,080.6499,-045.752,-115.2856,
-062.379,081.4566,-045.769,-115.2973,
-062.339,081.5585,-045.775,-115.2976,
-062.320,080.9462,-045.789,-115.2992,
-062.312,080.3565,-045.764,-115.2968,
-062.351,079.3920,-045.780,-115.3076,
-062.419,078.9398,-045.744,-115.2914,
-062.411,079.1178,-045.751,-115.2917,
-062.376,079.5045,-045.751,-115.2845,
-062.341,080.2144,-045.773,-115.2944,
-062.244,082.1145,-045.732,-115.2956,
-062.121,084.4503,-045.749,-115.3096,
-062.013,086.0253,-045.726,-115.3118,
-061.929,088.4241,-045.730,-115.3018,
-061.828,089.9689,-045.744,-115.3033,
-061.784,091.2802,-045.769,-115.3151,
-061.691,091.8329,-045.746,-115.3314,
-061.662,092.7788,-045.764,-115.3288,
-061.613,093.4190,-045.758,-115.3298,
-061.463,094.6715,-045.756,-115.3408,
-061.367,095.1027,-045.754,-115.3338,
-061.288,096.2517,-045.754,-115.3362,
-061.121,098.0017,-045.768,-115.3354,
-060.992,099.9940,-045.755,-115.3326,
-060.949,101.6020,-045.724,-115.3358,
-060.902,103.7785,-045.750,-115.3332,
-060.818,105.8582,-045.769,-115.3460,
-060.742,107.3339,-045.740,-115.3429,
-060.537,108.9620,-045.725,-115.3403,
-060.425,109.5971,-045.713,-115.3515,
-060.329,110.0369,-045.728,-115.3587,
-060.175,109.8753,-045.695,-115.3504,
-060.104,110.2585,-045.726,-115.3721,
-060.049,111.6847,-045.746,-115.3918,
-059.921,113.4217,-045.764,-115.3918,
-059.840,114.6005,-045.742,-115.3794,
-059.738,116.6814,-045.734,-115.3970,
-059.520,119.1998,-045.777,-115.4233,
-059.454,120.6964,-045.793,-115.4211,
-059.355,122.6853,-045.752,-115.4100,
-059.300,125.5770,-045.791,-115.4239,
-059.204,126.6552,-045.755,-115.4096,
-059.000,129.5766,-045.727,-115.4086,
-058.794,132.3961,-045.697,-115.4031,
-058.712,134.0765,-045.680,-115.4112,
-058.589,137.2125,-045.707,-115.4136,
-058.557,140.0859,-045.708,-115.4076,
-058.522,141.9388,-045.724,-115.4137,
-058.379,145.0744,-045.760,-115.4232,
-058.289,147.5511,-045.733,-115.4125,
-058.229,149.6892,-045.733,-115.4184,
-058.209,152.9702,-045.779,-115.4290,
-058.148,156.2371,-045.791,-115.4393,
-058.122,159.6861,-045.788,-115.4289,
-058.102,164.6682,-045.774,-115.4213,
-058.056,168.0620,-045.747,-115.4035,
-057.931,172.3813,-045.780,-115.4098,
-057.821,177.7205,-045.742,-115.3960,
-057.773,-179.1575,-045.741,-115.3973,
-057.689,-175.4682,-045.724,-115.4054,
-057.684,-171.2473,-045.726,-115.3934,
-057.699,-167.9655,-045.725,-115.4017,
-057.741,-163.9836,-045.735,-115.4040,
-057.776,-159.6998,-045.710,-115.3967,
-057.833,-156.2483,-045.717,-115.3875,
-057.911,-152.0311,-045.709,-115.3768,
-057.996,-147.6678,-045.743,-115.3815,
-058.109,-144.1641,-045.731,-115.3808,
-058.226,-139.2684,-045.722,-115.3774,
-058.280,-134.8494,-045.775,-115.3975,
-058.365,-131.6533,-045.757,-115.3904,
-058.479,-126.7971,-045.747,-115.3988,
-058.568,-123.0719,-045.734,-115.3946,
-058.714,-119.4547,-045.750,-115.3949,
-058.939,-114.5750,-045.713,-115.3903,
-059.098,-110.7088,-045.720,-115.3836,
-059.282,-106.2947,-045.742,-115.3864,
-059.516,-101.1385,-045.740,-115.3867,
-059.739,-097.7252,-045.726,-115.3756,
-059.954,-093.3837,-045.722,-115.3749,
-060.259,-088.8890,-045.780,-115.3909,
-060.514,-085.5432,-045.780,-115.3908,
-060.827,-081.5294,-045.802,-115.4045,
-061.148,-077.7402,-045.820,-115.4152,
-061.396,-075.2318,-045.798,-115.4194,
-061.797,-071.7354,-045.770,-115.4171,
-062.169,-069.0522,-045.771,-115.4157,
-062.471,-067.5013,-045.732,-115.4138,
-062.921,-064.7091,-045.751,-115.4172,
-063.199,-063.9371,-045.732,-115.4127,
-063.484,-063.3506,-045.699,-115.4041,
-063.873,-063.1380,-045.742,-115.4113,
-064.050,-063.5518,-045.735,-115.4052,
-064.243,-064.1332,-045.733,-115.3947,
-064.366,-065.0586,-045.788,-115.4016,
-064.382,-065.4184,-045.783,-115.3927,
-064.342,-066.2130,-045.762,-115.3944,
-064.281,-066.6507,-045.797,-115.3790,
-064.231,-067.1223,-045.784,-115.3736,
-064.087,-067.0431,-045.769,-115.3686,
-063.902,-066.9637,-045.768,-115.3852,
-063.769,-066.9281,-045.732,-115.3713,
-063.520,-066.6192,-045.759,-115.3604,
-063.318,-066.6692,-045.773,-115.3549,
-063.179,-066.2605,-045.740,-115.3442,
-062.956,-064.7198,-045.744,-115.3389,
-062.867,-063.7313,-045.741,-115.3321,
-062.831,-062.3104,-045.710,-115.3248,
-062.838,-060.1849,-045.729,-115.3385,
-062.978,-058.0625,-045.698,-115.3218,
-063.068,-055.7496,-045.696,-115.3102,
-063.298,-052.4152,-045.711,-115.3152,
-063.551,-050.2273,-045.705,-115.3184,
-063.776,-047.4961,-045.730,-115.3172,
-064.227,-042.9104,-045.761,-115.3151,
-064.527,-040.5802,-045.750,-115.3214,
-064.947,-036.1941,-045.785,-115.3378,
-065.290,-030.6854,-045.761,-115.3329,
-065.520,-026.8404,-045.759,-115.3355,
-065.723,-021.5922,-045.715,-115.3170,
-065.976,-017.3736,-045.707,-115.3064,
-066.168,-014.0093,-045.699,-115.3099,
-066.504,-008.8074,-045.699,-115.3169,
-066.896,-004.1751,-045.766,-115.3310,
-067.101,-000.2036,-045.724,-115.3133,
-067.554,007.7737,-045.709,-115.3178,
-067.940,014.0388,-045.743,-115.3437,
-068.229,021.9662,-045.728,-115.3364,
-068.460,034.7795,-045.728,-115.3363,
-068.536,044.8242,-045.695,-115.3328,
-068.400,055.3651,-045.717,-115.3415,
-068.104,068.6075,-045.680,-115.3337,
-067.679,077.8347,-045.671,-115.3467,
-067.068,087.6823,-045.668,-115.3343,
-066.173,096.5862,-045.678,-115.3340,
-065.706,101.8592,-045.728,-115.3400,
-064.935,106.8508,-045.717,-115.3474,
-064.440,111.4411,-045.728,-115.3482,
-064.209,113.9159,-045.691,-115.3393,
-063.895,117.6018,-045.735,-115.3472,
-063.827,121.6069,-045.760,-115.3567,
-063.734,124.4930,-045.757,-115.3761,
