FILENAME,E:\T_23\23_USP\ACQUIREDDATA\2AHHF06.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-055.094,-141.6867,-038.969,-111.4367,
-055.074,-143.2579,-038.974,-111.4394,
-055.063,-144.8203,-038.964,-111.4385,
-055.065,-146.2396,-038.988,-111.4219,
-055.059,-147.6816,-038.979,-111.4329,
-055.057,-149.1327,-038.985,-111.4468,
-055.044,-150.3398,-038.997,-111.4455,
-055.025,-151.5052,-039.015,-111.4608,
-055.001,-152.5914,-039.034,-111.4576,
-054.983,-153.5267,-039.010,-111.4551,
-054.969,-154.4226,-038.999,-111.4583,
-054.975,-155.3691,-038.993,-111.4397,
-054.984,-156.1594,-039.007,-111.4448,
-055.016,-156.9761,-039.007,-111.4417,
-055.057,-158.1379,-039.001,-111.4371,
-055.080,-158.8208,-038.986,-111.4301,
-055.118,-159.8689,-038.988,-111.4289,
-055.157,-161.0502,-038.990,-111.4295,
-055.164,-161.9271,-038.993,-111.4201,
-055.156,-163.1082,-039.007,-111.4260,
-055.143,-164.5975,-038.999,-111.4352,
-055.118,-165.6729,-039.021,-111.4388,
-055.082,-166.7669,-038.996,-111.4611,
-055.055,-168.3481,-038.997,-111.4506,
-055.044,-169.1724,-038.996,-111.4665,
-055.030,-170.5667,-039.019,-111.4729,
-055.037,-171.4994,-039.016,-111.4537,
-055.047,-172.2267,-039.025,-111.4770,
-055.077,-173.2381,-039.010,-111.4759,
-055.058,-174.3904,-038.987,-111.4547,
-055.107,-174.3768,-038.990,-111.4624,
-055.046,-176.8145,-038.991,-111.4432,
-055.041,-177.5705,-038.984,-111.4539,
-055.075,-177.9200,-039.002,-111.4403,
-055.088,-179.0853,-038.973,-111.4311,
-055.175,-178.2316,-038.988,-111.4354,
-055.183,-179.1225,-038.975,-111.4333,
-055.188,179.9280,-038.973,-111.4410,
-055.176,179.3206,-038.956,-111.4289,
-055.181,178.7507,-038.980,-111.4401,
-055.159,178.1670,-038.984,-111.4505,
-055.133,177.5808,-039.005,-111.4429,
-055.136,177.4466,-039.009,-111.4393,
-055.126,177.1582,-039.004,-111.4289,
-055.092,176.5411,-039.006,-111.4444,
-055.112,176.1038,-038.994,-111.4187,
-055.198,176.5152,-038.968,-111.4207,
-055.238,176.4626,-038.962,-111.4232,
-055.296,175.9766,-038.949,-111.3919,
-055.345,176.2228,-038.943,-111.3958,
-055.367,176.4663,-038.954,-111.4009,
-055.451,176.9459,-038.974,-111.4153,
-055.491,176.6328,-038.969,-111.4009,
-055.530,177.1359,-038.950,-111.4121,
-055.635,178.2482,-038.954,-111.3793,
-055.742,179.3959,-038.963,-111.4077,
-055.798,-179.7068,-038.955,-111.4154,
-055.894,-177.6343,-038.952,-111.4176,
-055.955,-179.1837,-038.944,-111.4330,
-056.040,-178.2419,-038.933,-111.4169,
-056.185,-177.4715,-038.953,-111.4257,
-056.275,-177.0818,-038.939,-111.4090,
-056.427,-176.5839,-038.924,-111.4222,
-056.642,-175.7450,-038.963,-111.4259,
-056.789,-174.6238,-039.001,-111.4582,
-056.926,-170.8497,-038.846,-111.3778,
-057.113,-172.4363,-038.941,-111.4231,
-057.282,-169.1929,-038.926,-111.4033,
-057.519,-168.0234,-038.926,-111.3905,
-057.789,-167.0368,-038.923,-111.3936,
-057.971,-165.6641,-038.944,-111.3885,
-058.322,-164.7498,-038.953,-111.4144,
-058.549,-164.0640,-038.933,-111.4039,
-058.781,-161.7802,-038.933,-111.3839,
-059.056,-158.4679,-038.946,-111.3819,
-059.202,-157.0046,-038.957,-111.3915,
-059.421,-155.9069,-038.930,-111.3991,
-059.782,-153.9779,-038.943,-111.3839,
-060.309,-152.3224,-038.924,-111.3725,
-061.043,-150.9966,-038.928,-111.3819,
-061.707,-149.4966,-038.943,-111.3893,
-062.170,-148.2130,-038.934,-111.3893,
-062.689,-146.8657,-038.931,-111.3873,
-063.236,-144.8807,-038.907,-111.3921,
-063.451,-143.2581,-038.918,-111.3835,
-063.802,-141.4761,-038.929,-111.3812,
-064.069,-139.5492,-038.923,-111.3747,
-064.188,-138.0833,-038.934,-111.3910,
-064.344,-136.5850,-038.943,-111.4041,
-064.437,-134.3470,-038.951,-111.4082,
-064.117,-134.0409,-038.950,-111.4112,
-063.896,-136.2925,-038.943,-111.3924,
-064.033,-133.4794,-038.941,-111.3914,
-064.204,-130.4707,-038.942,-111.3790,
-064.513,-126.8409,-038.940,-111.3910,
-064.669,-123.7586,-038.946,-111.4004,
-064.889,-120.2478,-038.940,-111.3715,
-065.133,-116.0941,-038.956,-111.3576,
-065.242,-112.5264,-038.944,-111.3517,
-065.405,-109.3551,-038.977,-111.3874,
-065.508,-105.4919,-038.976,-111.3902,
-065.547,-102.4799,-038.970,-111.3826,
-065.610,-098.6779,-038.968,-111.3739,
-065.644,-094.1890,-038.973,-111.3797,
-065.761,-091.4837,-038.976,-111.3771,
-065.828,-087.7246,-038.968,-111.3798,
-065.973,-083.9944,-038.935,-111.3464,
-065.985,-081.0894,-038.923,-111.3391,
-066.117,-078.0604,-038.919,-111.3436,
-066.270,-075.2498,-038.917,-111.3453,
-066.225,-072.9248,-038.884,-111.3432,
-066.270,-070.3052,-038.886,-111.3237,
-066.355,-068.1498,-038.902,-111.3186,
-066.361,-066.7404,-038.895,-111.3355,
-066.442,-065.4217,-038.911,-111.3409,
-066.485,-063.7475,-038.912,-111.3341,
-066.497,-061.4468,-038.924,-111.3386,
-066.473,-058.8444,-038.947,-111.3424,
-066.442,-056.4203,-038.934,-111.3262,
-066.302,-054.4316,-038.937,-111.3330,
-066.110,-051.3604,-038.946,-111.3417,
-066.039,-049.3055,-038.937,-111.3523,
-066.064,-047.0608,-038.939,-111.3450,
-066.020,-044.6571,-038.939,-111.3380,
-065.965,-043.3153,-038.941,-111.3422,
-066.012,-041.8622,-038.932,-111.3306,
-066.102,-040.7439,-038.915,-111.3313,
-066.054,-040.3938,-038.932,-111.3357,
-066.083,-040.0822,-038.911,-111.3151,
-065.978,-039.7710,-038.927,-111.3293,
-066.078,-039.9299,-038.948,-111.3504,
-065.945,-039.5886,-038.940,-111.3607,
-065.716,-039.1269,-038.970,-111.3726,
-065.612,-039.3010,-038.988,-111.3959,
-065.265,-038.2750,-038.986,-111.3644,
-064.966,-037.7035,-038.962,-111.3622,
-064.682,-036.1667,-038.963,-111.3521,
-064.466,-034.0013,-038.945,-111.3521,
-064.260,-032.3113,-038.947,-111.3435,
-063.712,-031.1876,-038.968,-111.3676,
