FILENAME,E:\T_23\23_USP\ACQUIREDDATA\2AVHF06.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,6,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-077.966,-032.7607,-036.822,-109.6542,
-070.602,-001.1871,-036.852,-109.6854,
-066.641,005.6746,-036.858,-109.6739,
-063.762,007.3174,-036.848,-109.6651,
-061.504,007.6760,-036.840,-109.6546,
-059.815,007.3643,-036.816,-109.6294,
-058.456,007.1030,-036.789,-109.5982,
-057.206,006.6825,-036.780,-109.6158,
-056.065,006.2183,-036.767,-109.5989,
-055.192,005.9112,-036.765,-109.5885,
-054.359,005.6037,-036.765,-109.5813,
-053.483,005.1265,-036.771,-109.5997,
-052.842,004.8435,-036.780,-109.5946,
-052.210,004.4461,-036.791,-109.6355,
-051.573,004.4879,-036.802,-109.6307,
-051.126,004.3607,-036.810,-109.6525,
-050.655,004.4726,-036.823,-109.6420,
-050.189,004.7847,-036.849,-109.6673,
-049.857,005.1757,-036.866,-109.7110,
-049.475,005.7349,-036.860,-109.7022,
-049.107,006.5398,-036.867,-109.7012,
-048.829,007.1723,-036.856,-109.6990,
-048.486,008.0543,-036.850,-109.7047,
-048.171,008.7113,-036.834,-109.6949,
-047.947,009.3041,-036.847,-109.7195,
-047.677,010.2056,-036.853,-109.7509,
-047.457,011.1874,-036.850,-109.7306,
-047.296,012.0601,-036.848,-109.7200,
-047.092,013.1951,-036.866,-109.7564,
-046.930,014.4932,-036.872,-109.7643,
-046.824,015.4850,-036.882,-109.7733,
-046.704,017.0952,-036.895,-109.7618,
-046.614,018.3776,-036.901,-109.7765,
-046.553,019.7326,-036.883,-109.7663,
-046.522,021.7008,-036.882,-109.7737,
-046.522,023.1411,-036.868,-109.7661,
-046.541,024.5876,-036.862,-109.7453,
-046.600,026.6434,-036.849,-109.7144,
-046.679,028.1337,-036.839,-109.7278,
-046.783,030.1223,-036.827,-109.7217,
-046.939,032.4261,-036.812,-109.7096,
-047.072,034.3589,-036.803,-109.7020,
-047.236,036.4724,-036.809,-109.7056,
-047.493,039.3056,-036.833,-109.7095,
-047.719,041.4481,-036.851,-109.7431,
-047.982,044.0024,-036.878,-109.7821,
-048.301,047.1344,-036.882,-109.7534,
-048.583,049.7030,-036.872,-109.7468,
-048.973,053.2107,-036.868,-109.7366,
-049.402,056.7330,-036.861,-109.7397,
-049.781,059.9884,-036.841,-109.7127,
-050.352,064.5999,-036.813,-109.6880,
-050.851,068.7867,-036.797,-109.6707,
-051.357,072.8051,-036.778,-109.6235,
-052.156,079.2057,-036.749,-109.5934,
-052.800,084.6311,-036.759,-109.5814,
-053.408,090.1021,-036.753,-109.5835,
-054.304,098.7799,-036.750,-109.5942,
-054.852,105.6928,-036.756,-109.6063,
-055.493,113.5903,-036.774,-109.6195,
-056.304,124.7748,-036.793,-109.6346,
-056.933,133.5376,-036.798,-109.6576,
-057.589,144.7568,-036.795,-109.6420,
-058.191,158.4559,-036.800,-109.6430,
-058.476,169.9321,-036.814,-109.6438,
-058.648,-176.1077,-036.808,-109.6267,
-058.556,-161.3193,-036.809,-109.6403,
-058.301,-149.8721,-036.810,-109.6273,
-057.707,-135.7576,-036.792,-109.6078,
-057.139,-123.6431,-036.779,-109.6026,
-056.616,-114.7607,-036.790,-109.5852,
-055.692,-104.2360,-036.786,-109.5808,
-055.071,-095.4245,-036.786,-109.5999,
-054.492,-088.8101,-036.801,-109.6016,
-053.750,-079.6231,-036.835,-109.6713,
-053.263,-073.3758,-036.843,-109.6745,
-052.815,-066.9560,-036.860,-109.7158,
-052.266,-059.0663,-036.852,-109.7020,
-051.901,-053.1457,-036.836,-109.6892,
-051.546,-047.0259,-036.821,-109.6816,
-051.112,-039.5849,-036.816,-109.6994,
-050.808,-034.2384,-036.800,-109.6751,
-050.502,-028.2958,-036.784,-109.6710,
-050.205,-021.8807,-036.772,-109.6671,
-049.987,-016.9427,-036.772,-109.6371,
-049.769,-010.9250,-036.786,-109.6527,
-049.625,-005.1741,-036.784,-109.6449,
-049.535,-000.6167,-036.795,-109.6528,
-049.435,005.5910,-036.788,-109.6575,
-049.396,010.9059,-036.804,-109.6836,
-049.367,015.5257,-036.806,-109.6729,
-049.432,022.1226,-036.802,-109.6888,
-049.531,027.3375,-036.804,-109.7004,
-049.678,032.0222,-036.800,-109.6622,
-049.937,038.7851,-036.806,-109.6938,
-050.182,044.0767,-036.774,-109.6707,
-050.452,049.6467,-036.750,-109.6575,
-050.858,057.5521,-036.740,-109.6231,
-051.206,063.7102,-036.735,-109.6411,
-051.622,070.3855,-036.718,-109.5953,
-052.185,078.8796,-036.722,-109.6038,
-052.678,085.6518,-036.734,-109.6167,
-053.268,093.8678,-036.744,-109.6148,
-053.993,103.9682,-036.774,-109.6373,
-054.552,112.3403,-036.781,-109.6571,
-055.158,122.9014,-036.802,-109.6890,
-055.841,135.8961,-036.812,-109.6916,
-056.259,146.7557,-036.823,-109.6845,
-056.655,162.3348,-036.834,-109.6829,
-056.715,176.6254,-036.832,-109.6769,
-056.586,-171.9272,-036.852,-109.6852,
-056.212,-156.7911,-036.848,-109.6782,
-055.748,-144.4865,-036.833,-109.6624,
-055.269,-134.7927,-036.843,-109.6712,
-054.539,-121.8218,-036.836,-109.6663,
-053.987,-112.8289,-036.837,-109.6734,
-053.478,-104.7438,-036.843,-109.6554,
-052.836,-095.2062,-036.836,-109.6517,
-052.379,-088.2784,-036.836,-109.6421,
-051.963,-081.1771,-036.845,-109.6478,
-051.415,-073.1883,-036.864,-109.6887,
-051.094,-067.2077,-036.875,-109.6918,
-050.527,-061.1641,-036.892,-109.7199,
-050.058,-054.3117,-036.904,-109.7644,
-049.738,-049.4385,-036.903,-109.7627,
-049.404,-043.5824,-036.875,-109.7415,
-049.106,-037.2269,-036.850,-109.6956,
-048.924,-032.6017,-036.840,-109.6837,
-048.746,-026.5993,-036.805,-109.6679,
-048.622,-020.7245,-036.789,-109.6223,
-048.541,-016.1690,-036.791,-109.6546,
-048.433,-009.8381,-036.805,-109.6662,
-048.391,-004.5032,-036.810,-109.6714,
-048.367,-000.2463,-036.803,-109.6369,
-048.381,005.5856,-036.824,-109.6713,
-048.367,010.6169,-036.836,-109.7092,
-048.319,015.2843,-036.835,-109.6995,
-048.349,021.2034,-036.845,-109.7190,
-048.395,025.7861,-036.845,-109.7430,
-048.462,030.6800,-036.829,-109.7208,
-048.573,036.1643,-036.804,-109.6887,
-048.618,040.2389,-036.795,-109.6707,
-048.700,045.0184,-036.774,-109.6537,
