FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVHF085.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,180,-179,1,REVERSE,
FREQ,SINGLE,1,8.45,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-068.497,118.3903,-041.936,-109.6431,
-066.229,119.7206,-041.927,-109.6454,
-064.698,120.7090,-041.932,-109.6407,
-063.359,121.4972,-041.937,-109.6292,
-062.188,122.2636,-041.947,-109.6304,
-061.242,122.9650,-041.948,-109.6367,
-060.443,123.7848,-041.955,-109.6389,
-059.701,124.4199,-041.958,-109.6265,
-059.030,124.9087,-041.947,-109.6185,
-058.539,125.3503,-041.942,-109.6167,
-058.092,125.9059,-041.925,-109.6133,
-057.731,126.7473,-041.919,-109.6174,
-057.528,127.7800,-041.928,-109.6027,
-057.375,129.6214,-041.920,-109.6053,
-057.231,132.3164,-041.921,-109.6036,
-057.117,135.0191,-041.932,-109.5898,
-056.951,138.5486,-041.926,-109.6003,
-056.733,142.7573,-041.915,-109.6001,
-056.546,145.9873,-041.917,-109.5918,
-056.329,149.9408,-041.917,-109.5867,
-056.134,154.0887,-041.915,-109.5972,
-056.001,157.4136,-041.928,-109.5889,
-055.821,161.9158,-041.929,-109.6015,
-055.662,166.5715,-041.935,-109.5945,
-055.548,170.2097,-041.928,-109.5986,
-055.424,174.8598,-041.951,-109.6011,
-055.348,179.6040,-041.944,-109.6146,
-055.333,-176.5791,-041.963,-109.6014,
-055.340,-170.7778,-041.976,-109.6040,
-055.370,-165.4262,-041.977,-109.6001,
-055.398,-160.6905,-041.966,-109.5989,
-055.438,-152.9878,-041.967,-109.5974,
-055.456,-146.3916,-041.955,-109.5950,
-055.482,-140.2033,-041.951,-109.5945,
-055.481,-131.2310,-041.944,-109.5895,
-055.471,-124.6062,-041.953,-109.5931,
-055.471,-118.0467,-041.940,-109.5989,
-055.449,-108.5993,-041.924,-109.6084,
-055.406,-101.2634,-041.939,-109.6032,
-055.353,-093.6246,-041.944,-109.6084,
-055.237,-084.0890,-041.965,-109.6017,
-055.137,-076.7123,-041.970,-109.6034,
-055.025,-068.6054,-041.975,-109.6205,
-054.874,-059.2597,-041.991,-109.5959,
-054.790,-052.6596,-041.984,-109.6037,
-054.739,-044.9710,-041.978,-109.6127,
-054.751,-036.5888,-041.965,-109.6030,
-054.811,-029.7331,-041.963,-109.6058,
-054.901,-020.2527,-041.957,-109.6136,
-055.002,-011.0864,-041.954,-109.6024,
-055.115,-003.5853,-041.950,-109.6102,
-055.326,007.1525,-041.952,-109.6208,
-055.492,016.9229,-041.955,-109.6229,
-055.642,025.5903,-041.955,-109.6245,
-055.843,038.6948,-041.957,-109.6056,
-055.960,048.9041,-041.965,-109.5974,
-056.061,058.5108,-041.958,-109.6057,
-056.140,072.4520,-041.964,-109.6027,
-056.169,082.6766,-041.977,-109.5946,
-056.189,093.5204,-041.976,-109.6019,
-056.234,106.3531,-041.972,-109.6052,
-056.331,116.1236,-041.969,-109.6039,
-056.485,126.9856,-041.968,-109.6078,
-056.749,140.5129,-041.977,-109.5936,
-056.953,151.5312,-041.968,-109.5975,
-057.159,165.2334,-041.963,-109.6076,
-057.299,-179.8660,-041.981,-109.6034,
-057.323,-167.9372,-041.984,-109.5970,
-057.217,-152.4493,-041.985,-109.6147,
-057.097,-138.6172,-041.997,-109.6066,
-056.955,-127.3408,-041.992,-109.6083,
-056.728,-112.1008,-041.996,-109.6072,
-056.529,-099.5943,-041.995,-109.6071,
-056.335,-088.9614,-041.984,-109.6057,
-056.064,-074.5406,-041.997,-109.6085,
-055.901,-064.1038,-041.997,-109.6161,
-055.786,-054.1056,-041.995,-109.6248,
-055.707,-040.8598,-042.018,-109.6255,
-055.674,-030.9821,-042.015,-109.6340,
-055.686,-020.1620,-042.024,-109.6332,
-055.738,-007.4715,-042.011,-109.6461,
-055.808,002.1619,-042.014,-109.6359,
-055.917,013.6309,-042.012,-109.6351,
-056.061,026.1565,-042.016,-109.6255,
-056.178,035.4283,-042.003,-109.6395,
-056.385,046.7013,-042.020,-109.6284,
-056.621,058.7191,-042.021,-109.6308,
-056.833,068.1686,-042.025,-109.6377,
-057.118,081.5185,-042.035,-109.6374,
-057.357,093.2363,-042.035,-109.6341,
-057.561,102.5218,-042.021,-109.6406,
-057.807,115.4164,-042.009,-109.6425,
-057.978,125.8319,-042.012,-109.6383,
-058.165,134.9492,-042.010,-109.6407,
-058.388,147.6149,-042.024,-109.6334,
-058.539,156.9863,-042.022,-109.6372,
-058.644,165.9297,-042.024,-109.6394,
-058.776,177.3840,-042.019,-109.6400,
-058.832,-173.9283,-042.021,-109.6434,
-058.839,-165.1731,-042.032,-109.6321,
-058.794,-155.2577,-042.028,-109.6282,
-058.701,-147.8394,-042.025,-109.6246,
-058.548,-140.1587,-042.036,-109.6236,
-058.339,-131.6581,-042.041,-109.6267,
-058.145,-125.4327,-042.031,-109.6335,
-057.874,-118.5335,-042.022,-109.6274,
-057.554,-110.8495,-042.017,-109.6297,
-057.247,-104.7560,-042.015,-109.6295,
-056.822,-096.9913,-042.008,-109.6208,
-056.367,-089.3202,-042.010,-109.6226,
-055.975,-082.8262,-042.009,-109.6219,
-055.393,-073.7512,-042.004,-109.6345,
-054.891,-065.9556,-042.017,-109.6295,
-054.459,-059.0534,-042.019,-109.6150,
-053.897,-049.4202,-042.024,-109.6078,
-053.505,-041.9622,-042.016,-109.6107,
-053.124,-034.0935,-042.020,-109.6096,
-052.648,-023.6629,-042.030,-109.6132,
-052.304,-015.5758,-042.037,-109.6319,
-051.962,-006.6089,-042.025,-109.6486,
-051.587,003.7247,-042.037,-109.6470,
-051.332,011.6730,-042.044,-109.6441,
-051.049,021.0415,-042.039,-109.6300,
-050.775,031.6429,-042.042,-109.6184,
-050.580,039.5729,-042.037,-109.6041,
-050.363,049.3103,-042.031,-109.6046,
-050.160,059.5079,-042.014,-109.6137,
-050.024,066.9910,-042.007,-109.6153,
-049.857,077.3846,-041.999,-109.6213,
-049.721,087.4889,-042.018,-109.6091,
-049.635,095.2408,-042.018,-109.6217,
-049.529,106.7717,-042.016,-109.6099,
-049.438,116.3333,-042.029,-109.5909,
-049.353,124.7427,-042.042,-109.5900,
-049.215,136.5043,-042.045,-109.5836,
-049.111,145.3506,-042.035,-109.5885,
-049.020,153.7464,-042.012,-109.5786,
-048.913,164.6944,-042.008,-109.5930,
-048.838,172.8358,-042.003,-109.5878,
-048.774,-178.6245,-041.998,-109.6068,
-048.721,-168.5634,-042.003,-109.5930,
-048.700,-160.9517,-042.007,-109.5756,
