FILENAME,E:\T_23\23_USP\ACQUIREDDATA\3AHVF07.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,7.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-058.946,060.2298,-045.719,-113.9302,
-058.753,061.2118,-045.767,-113.9477,
-058.625,062.8170,-045.782,-113.9621,
-058.522,064.0083,-045.764,-113.9532,
-058.439,064.3729,-045.751,-113.9371,
-058.391,065.6206,-045.774,-113.9539,
-058.365,066.1537,-045.762,-113.9407,
-058.343,067.5994,-045.755,-113.9511,
-058.313,068.7563,-045.741,-113.9543,
-058.253,070.4937,-045.719,-113.9453,
-058.146,072.3483,-045.723,-113.9548,
-058.041,075.2525,-045.743,-113.9476,
-058.014,077.0110,-045.683,-113.9350,
-057.957,079.8480,-045.715,-113.9538,
-057.938,081.9660,-045.712,-113.9498,
-057.961,083.4512,-045.725,-113.9543,
-057.939,085.6341,-045.727,-113.9630,
-058.000,087.9570,-045.734,-113.9562,
-057.993,089.5685,-045.727,-113.9595,
-058.045,091.8735,-045.701,-113.9591,
-058.119,093.8995,-045.666,-113.9568,
-058.160,095.4889,-045.681,-113.9746,
-058.216,098.0309,-045.744,-114.0006,
-058.286,100.0435,-045.753,-114.0016,
-058.301,101.6170,-045.746,-113.9929,
-058.439,105.0024,-045.751,-113.9962,
-058.520,107.5758,-045.759,-113.9987,
-058.581,109.4606,-045.730,-114.0025,
-058.702,111.7502,-045.705,-113.9945,
-058.811,113.4428,-045.710,-114.0024,
-058.901,114.3662,-045.728,-114.0126,
-059.206,116.3636,-045.694,-113.9931,
-059.364,117.4487,-045.708,-114.0100,
-059.546,119.0393,-045.705,-114.0098,
-059.760,121.2916,-045.732,-114.0384,
-059.905,122.6000,-045.741,-114.0501,
-060.087,124.4153,-045.732,-114.0443,
-060.312,126.7488,-045.750,-114.0534,
-060.477,128.0217,-045.741,-114.0455,
-060.705,129.3562,-045.749,-114.0383,
-061.031,131.7270,-045.799,-114.0536,
-061.152,132.7564,-045.750,-114.0438,
-061.216,134.2847,-045.753,-114.0443,
-061.319,135.0267,-045.750,-114.0569,
-061.437,135.7138,-045.701,-114.0486,
-061.630,136.3563,-045.728,-114.0468,
-061.899,137.0318,-045.724,-114.0551,
-062.097,137.3262,-045.716,-114.0502,
-062.186,136.9912,-045.695,-114.0433,
-062.234,136.5492,-045.709,-114.0558,
-062.230,136.6001,-045.717,-114.0451,
-062.386,136.4431,-045.757,-114.0537,
-062.379,137.2949,-045.779,-114.0604,
-062.372,139.2926,-045.763,-114.0534,
-062.252,142.6132,-045.724,-114.0420,
-062.144,144.9340,-045.742,-114.0378,
-061.971,147.4791,-045.781,-114.0503,
-061.729,150.2633,-045.820,-114.0499,
-061.603,151.7255,-045.818,-114.0445,
-061.417,153.9258,-045.770,-114.0417,
-061.277,155.8604,-045.742,-114.0180,
-061.227,157.6190,-045.733,-114.0076,
-061.172,160.0867,-045.754,-114.0238,
-061.178,163.4311,-045.716,-114.0337,
-061.217,165.4582,-045.739,-114.0366,
-061.226,168.5798,-045.776,-114.0400,
-061.272,172.1749,-045.773,-114.0397,
-061.310,174.9278,-045.806,-114.0561,
-061.298,178.4728,-045.798,-114.0728,
-061.301,-178.0537,-045.771,-114.0818,
-061.328,-175.1071,-045.778,-114.0847,
-061.302,-170.4014,-045.785,-114.0863,
-061.317,-167.0545,-045.807,-114.0929,
-061.477,-164.0812,-045.756,-114.0790,
-061.785,-160.5345,-045.723,-114.0696,
-062.054,-157.1211,-045.710,-114.0710,
-062.459,-152.8167,-045.702,-114.0744,
-062.843,-147.6815,-045.725,-114.0750,
-063.179,-144.0998,-045.740,-114.0811,
-063.474,-140.2867,-045.760,-114.0897,
-063.839,-136.7125,-045.762,-114.0869,
-064.078,-134.8137,-045.765,-114.0930,
-064.425,-131.3775,-045.820,-114.1060,
-064.707,-128.6690,-045.762,-114.0798,
-064.993,-127.1675,-045.765,-114.0788,
-065.483,-125.2572,-045.812,-114.0868,
-065.858,-123.4400,-045.781,-114.0612,
-066.234,-122.1067,-045.722,-114.0437,
-066.763,-119.3468,-045.748,-114.0469,
-067.173,-117.4807,-045.722,-114.0319,
-067.472,-115.4810,-045.730,-114.0321,
-068.070,-111.9712,-045.660,-114.0044,
-068.310,-108.7867,-045.681,-114.0052,
-068.662,-105.4240,-045.729,-114.0109,
-068.748,-101.3113,-045.812,-114.0353,
-068.800,-098.9391,-045.787,-114.0259,
-068.886,-096.6970,-045.789,-114.0280,
-069.037,-094.4801,-045.783,-114.0247,
-069.098,-093.1733,-045.762,-114.0180,
-069.219,-092.4415,-045.773,-114.0136,
-069.431,-093.0176,-045.714,-114.0049,
-069.635,-093.4683,-045.715,-114.0033,
-069.739,-093.4714,-045.731,-114.0093,
-069.691,-093.0712,-045.771,-114.0258,
-069.783,-091.5741,-045.759,-114.0213,
-069.672,-088.1091,-045.711,-114.0281,
-069.505,-085.4759,-045.740,-114.0423,
-069.449,-082.7587,-045.742,-114.0569,
-069.228,-078.3616,-045.736,-114.0563,
-069.258,-076.3780,-045.694,-114.0401,
-069.335,-074.9720,-045.697,-114.0369,
-069.530,-073.7132,-045.713,-114.0417,
-069.973,-073.4373,-045.733,-114.0395,
-070.453,-073.0686,-045.709,-114.0406,
-071.279,-073.0308,-045.728,-114.0420,
-071.912,-073.0570,-045.756,-114.0695,
-072.544,-071.3093,-045.754,-114.0689,
-072.900,-068.2390,-045.732,-114.0635,
-072.929,-065.9512,-045.671,-114.0375,
-072.802,-062.6214,-045.696,-114.0373,
-072.527,-061.7049,-045.704,-114.0371,
-072.503,-060.5991,-045.730,-114.0462,
-072.161,-060.0271,-045.770,-114.0571,
-072.215,-059.9863,-045.740,-114.0609,
-072.281,-058.7376,-045.738,-114.0604,
-072.622,-055.7145,-045.737,-114.0644,
-073.079,-050.9624,-045.730,-114.0734,
-073.577,-048.1372,-045.721,-114.0771,
-074.638,-041.3601,-045.707,-114.0707,
-075.486,-038.7871,-045.688,-114.0609,
-076.206,-037.5600,-045.744,-114.0802,
-077.681,-038.7655,-045.739,-114.0613,
-078.586,-043.7944,-045.731,-114.0636,
-079.684,-048.9808,-045.751,-114.0721,
-080.813,-054.6111,-045.769,-114.0645,
-081.134,-061.0304,-045.742,-114.0593,
-081.553,-063.8014,-045.741,-114.0679,
-081.619,-071.1208,-045.749,-114.0655,
-080.684,-078.4850,-045.770,-114.0774,
-079.425,-079.9119,-045.744,-114.0718,
-077.558,-080.2084,-045.709,-114.0512,
-076.482,-081.2735,-045.735,-114.0576,
