FILENAME,E:\T_23\23_USP\ACQUIREDDATA\4AVHF10.MDB,
STEP,1,-90,-90,0,FORWARD,
SCAN,360,-179,180,1,FORWARD,
FREQ,SINGLE,1,10.5,
BEAM,1,
AXIS,0,
BINS,2,
SELECTED SCAN,ALL,
SELECTED FREQ,ALL,
SELECTED BEAM,ALL,
SELECTED BINS,ALL,
DATA_START,
-075.229,082.3039,-052.327,-112.0235,
-077.445,108.9158,-052.315,-112.0284,
-077.705,143.3277,-052.300,-112.0104,
-076.216,166.0696,-052.299,-112.0323,
-073.612,-175.6533,-052.310,-112.0417,
-071.253,-162.3509,-052.331,-112.0440,
-069.699,-153.5306,-052.346,-112.0300,
-068.277,-145.6535,-052.334,-112.0273,
-067.018,-138.7771,-052.329,-112.0188,
-066.152,-133.1903,-052.318,-112.0256,
-065.234,-126.0570,-052.328,-112.0151,
-064.650,-119.6774,-052.347,-112.0265,
-064.348,-114.9712,-052.368,-112.0235,
-064.114,-109.3820,-052.401,-112.0374,
-063.928,-105.0648,-052.428,-112.0310,
-063.884,-101.4900,-052.406,-112.0395,
-064.029,-094.3784,-052.403,-112.0287,
-064.340,-088.9169,-052.412,-112.0312,
-064.637,-084.4346,-052.406,-112.0283,
-065.270,-077.3584,-052.407,-112.0304,
-065.873,-071.4419,-052.400,-112.0269,
-066.425,-067.0609,-052.404,-112.0482,
-067.877,-059.1322,-052.427,-112.0317,
-069.370,-053.2923,-052.438,-112.0541,
-070.698,-048.9743,-052.432,-112.0443,
-074.559,-040.6487,-052.424,-112.0462,
-078.995,-035.6568,-052.427,-112.0455,
-087.673,-026.2960,-052.437,-112.0495,
-080.660,158.3846,-052.451,-112.0616,
-075.341,165.8136,-052.444,-112.0528,
-072.030,170.6462,-052.430,-112.0473,
-068.673,179.4026,-052.395,-112.0310,
-067.211,-175.4926,-052.381,-112.0167,
-065.718,-168.8953,-052.380,-112.0185,
-064.043,-160.1226,-052.382,-112.0171,
-063.217,-154.3441,-052.383,-112.0213,
-062.293,-146.9066,-052.410,-112.0065,
-061.406,-137.9482,-052.403,-112.0020,
-060.964,-132.1414,-052.390,-112.0119,
-060.451,-123.7888,-052.375,-111.9959,
-059.981,-113.5240,-052.348,-111.9996,
-059.777,-107.1700,-052.337,-111.9808,
-059.499,-097.0902,-052.324,-111.9909,
-059.331,-087.3269,-052.329,-111.9834,
-059.291,-081.0317,-052.334,-112.0015,
-059.306,-069.3738,-052.344,-111.9995,
-059.417,-059.1121,-052.318,-111.9893,
-059.549,-051.3027,-052.312,-112.0071,
-059.835,-036.7389,-052.321,-112.0033,
-060.005,-026.3580,-052.328,-112.0286,
-060.173,-017.1831,-052.339,-112.0272,
-060.437,-001.2834,-052.355,-112.0278,
-060.649,009.8094,-052.368,-112.0307,
-060.850,020.7593,-052.367,-112.0172,
-061.176,037.6320,-052.337,-112.0337,
-061.408,049.6525,-052.314,-112.0348,
-061.655,062.5203,-052.289,-112.0114,
-061.985,082.5055,-052.303,-112.0017,
-062.157,096.3529,-052.324,-111.9998,
-062.246,111.4871,-052.341,-112.0103,
-062.260,131.9821,-052.324,-112.0230,
-062.161,146.1548,-052.328,-112.0114,
-061.919,163.5963,-052.338,-112.0077,
-061.495,-176.9373,-052.333,-112.0026,
-061.102,-163.5280,-052.332,-112.0147,
-060.580,-146.5049,-052.323,-112.0072,
-060.022,-129.8389,-052.326,-112.0038,
-059.566,-117.2952,-052.321,-112.0009,
-058.984,-100.8164,-052.316,-112.0160,
-058.551,-087.3653,-052.308,-112.0050,
-058.217,-075.3357,-052.303,-112.0065,
-057.813,-059.1162,-052.306,-112.0110,
-057.525,-046.4758,-052.327,-112.0089,
-057.233,-033.4070,-052.362,-112.0389,
-056.924,-017.5796,-052.379,-112.0529,
-056.717,-005.5373,-052.374,-112.0473,
-056.504,008.3677,-052.381,-112.0403,
-056.350,023.9004,-052.366,-112.0271,
-056.283,035.1155,-052.346,-112.0154,
-056.277,048.6958,-052.340,-111.9902,
-056.366,064.0300,-052.329,-111.9772,
-056.465,075.9070,-052.367,-111.9980,
-056.615,091.6794,-052.377,-112.0034,
-056.797,108.0021,-052.378,-111.9975,
-056.951,120.3630,-052.363,-111.9937,
-057.176,139.1462,-052.349,-112.0039,
-057.348,156.4647,-052.341,-111.9629,
-057.409,171.2458,-052.344,-111.9840,
-057.364,-167.1819,-052.339,-111.9726,
-057.239,-151.0170,-052.343,-111.9649,
-057.092,-136.1162,-052.352,-111.9799,
-056.763,-114.9466,-052.353,-111.9728,
-056.451,-099.8526,-052.342,-111.9879,
-056.072,-084.4065,-052.325,-111.9652,
-055.578,-065.7028,-052.315,-111.9920,
-055.248,-053.2139,-052.324,-111.9865,
-054.876,-038.9472,-052.324,-112.0004,
-054.472,-022.4834,-052.329,-112.0131,
-054.225,-011.6881,-052.322,-112.0342,
-053.983,001.4491,-052.316,-112.0216,
-053.761,016.5611,-052.302,-112.0133,
-053.671,026.7353,-052.307,-111.9964,
-053.615,040.1513,-052.299,-111.9836,
-053.637,054.7490,-052.299,-111.9684,
-053.704,064.3331,-052.307,-111.9570,
-053.864,078.5433,-052.293,-111.9604,
-054.047,091.8156,-052.266,-111.9594,
-054.197,101.8666,-052.258,-111.9685,
-054.420,117.9831,-052.259,-111.9363,
-054.630,130.2017,-052.258,-111.9299,
-054.823,141.4013,-052.267,-111.9342,
-055.069,157.7363,-052.276,-111.9287,
-055.177,169.2238,-052.274,-111.9435,
-055.288,-179.2758,-052.272,-111.9517,
-055.451,-165.0041,-052.276,-111.9472,
-055.556,-155.1318,-052.292,-111.9501,
-055.675,-143.8549,-052.295,-111.9558,
-055.893,-131.3737,-052.314,-111.9632,
-056.096,-123.0066,-052.335,-111.9910,
-056.414,-112.5950,-052.350,-112.0022,
-056.689,-101.1292,-052.356,-112.0191,
-056.851,-092.9439,-052.356,-112.0125,
-057.046,-083.6616,-052.338,-112.0197,
-057.271,-075.4919,-052.318,-112.0197,
-057.440,-069.8586,-052.313,-112.0033,
-057.659,-063.0547,-052.321,-112.0069,
-057.845,-057.8384,-052.339,-112.0185,
-057.985,-053.5845,-052.335,-112.0099,
-058.121,-048.5492,-052.321,-112.0251,
-058.147,-044.9424,-052.297,-112.0171,
-058.069,-042.3182,-052.274,-112.0247,
-057.880,-039.3524,-052.280,-112.0211,
-057.689,-037.1510,-052.279,-112.0373,
-057.386,-034.1244,-052.299,-112.0382,
-056.988,-030.1325,-052.298,-112.0302,
-056.650,-027.1207,-052.311,-112.0221,
-056.154,-022.8920,-052.308,-112.0391,
-055.642,-018.1682,-052.306,-112.0285,
-055.273,-014.4467,-052.303,-112.0316,
-054.771,-008.9185,-052.291,-112.0469,
-054.326,-003.5573,-052.286,-112.0452,
